No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
125,DIRECT METHODS FOR DENSE PARKING OF AUTONOMOUS VEHICLES,HARVEY THOMAS DANAHER [US],HARVEY THOMAS DANAHER [US],"US2016224028A1 
US9645578B2",2015-02-01,"G05D1/00 
G05D1/02 
B60W30/06 
B62D15/02 
E04H6/42","B60W30/06 (EP,US) 
B62D15/0285 (US) 
E04H6/422 (EP,US) 
G05D1/0027 (US) 
G05D1/0212 (US) 
G05D1/0287 (US) 
G05D1/0297 (EP,US)","2016-08-04 
2017-05-09",2015-12-24,54869558,,2016-08-04,2017-05-09,US2016224028A1,"
US9645578B2",['US'],"['US10216196B2', 'US10303182B2', 'US10303183B2', 'US10310514B2', 'US10310515B2', 'US10317911B2', 'US10317912B2', 'US10317913B2', 'US10452079B2', 'US11378981B2', 'US11630465B2', 'US2015149022A1', 'US2015370255A1', 'US2016171894A1', 'US2016224028A1', 'US2016274590A1', 'US2017038777A1', 'US2018074513A9', 'US2018299904A1', 'US2018299905A1', 'US2018299906A1', 'US2018307248A1', 'US2018307249A1', 'US2018307250A1', 'US2018307251A1', 'US2018307252A1', 'US2019377364A1', 'US2020004270A1', 'US2020125118A1', 'US2020125119A1', 'US2020125120A1', 'US2020142430A1', 'US9139199B2', 'US9298186B2', 'US9384666B1', 'US9494943B2', 'US9645578B2']"
126,METHOD FOR UNATTENDED OPERATIONS USING AUTONOMOUS OR REMOTELY OPERATED VEHICLES,"MEIER BRIAN S [US] 
FLORENZANI TIZIANO [US]",XWORKS CORP [US],US2018196418A1,2015-07-27,"B64C39/02 
B65G63/00 
G05D1/00 
G05D1/02 
G05D1/10","B65G63/002 (US) 
G05D1/0011 (US) 
G05D1/0206 (US) 
G05D1/0225 (EP,US) 
G05D1/0676 (EP,US) 
B64D9/00 (US) 
B64U10/00 (EP,US) 
B64U2101/64 (EP,US) 
B64U2201/10 (EP,US) 
B64U2201/20 (US) 
B64U50/34 (EP,US) 
B64U70/90 (EP,US) 
B64U80/20 (EP,US) 
B64U80/82 (US)",2018-07-12,2017-02-02,57885339,,2018-07-12,,US2018196418A1,,,
127,RELATIVE POSITION MANAGEMENT OF AUTONOMOUS VEHICLES BASED ON DATA BANDWITH REQUIREMENTS,"BENDER MICHAEL [US] 
KWATRA SHIKHAR [US] 
KEEN MARTIN G [US] 
RAKSHIT SARBAJIT K [IN]",IBM [US],"US11662721B2 
US2021089026A1",2019-09-20,"G01C21/34 
G01C21/36 
G05D1/00 
G08G1/0968 
H04W4/46 
H04W72/54 
H04W72/23 
H04W72/542 
H04W72/563","G01C21/3461 (EP,US) 
G01C21/3605 (US) 
G01C21/3691 (EP) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G08G1/0112 (EP) 
G08G1/012 (EP) 
G08G1/0145 (EP) 
G08G1/096775 (EP) 
G08G1/096811 (US) 
G08G1/096827 (EP) 
G08G1/096844 (EP) 
H04W4/024 (EP) 
H04W4/44 (EP) 
H04W4/46 (US) 
H04W72/23 (US) 
H04W72/542 (US) 
H04W72/563 (US)","2021-03-25 
2023-05-30",2021-03-25,74881962,,2021-03-25,2023-05-30,US11662721B2,"
US2021089026A1",['US'],"['US11662721B2', 'US2021089026A1']"
128,METHODS AND SYSTEMS FOR NAVIGATING AUTONOMOUS AND SEMI-AUTONOMOUS VEHICLES,"FEINSON ROY [US] 
KATZ ARI MIKHAEL [US]",EMERGEX LLC [US],"US11300965B2 
US2020103909A1",2018-10-01,"G05D1/00 
G05D1/02 
G06N3/04 
G06N3/08 
G06V10/772","G05D1/0088 (US) 
G05D1/0214 (US) 
G05D1/0221 (US) 
G05D1/0238 (US) 
G05D1/0246 (US) 
G05D1/0251 (EP,US) 
G05D1/2435 (US) 
G05D1/249 (US) 
G05D1/617 (US) 
G05D1/628 (US) 
G05D1/81 (US) 
G06F18/214 (US) 
G06N3/02 (US) 
G06N3/04 (US) 
G06N3/08 (US) 
G06N3/084 (EP) 
G06V10/26 (EP,US) 
G06V10/454 (EP,US) 
G06V10/62 (EP,US) 
G06V10/772 (EP,US) 
G06V10/82 (EP,US) 
G06V20/46 (US) 
G06V20/58 (EP,US) 
G06N3/044 (EP) 
G06N3/045 (EP) 
G06N3/049 (EP) 
G06N3/082 (EP) 
G06V2201/02 (EP)","2020-04-02 
2022-04-12",2020-04-02,69947473,,2020-04-02,2022-04-12,US11300965B2,"
US2020103909A1","['EP', 'US', 'WO']","['EP3861480A2', 'EP3861480A4', 'US11300965B2', 'US12007783B2', 'US2020103909A1', 'US2022043454A1', 'WO2020117357A2', 'WO2020117357A3', 'WO2020117357A9']"
129,"METHOD, APPARATUS, AND COMPUTER PROGRAM PRODUCT FOR ORGANIZING AUTONOMOUS VEHICLES IN AN AUTONOMOUS TRANSITION REGION","STENNETH LEON [US] 
YOUNG JEREMY MICHAEL [US] 
BEAUREPAIRE JEROME [DE]",HERE GLOBAL BV [NL],"US11687094B2 
US2022066467A1",2020-08-27,"G05D1/02 
H04W4/46 
H04W76/10 
B60W60/00","B60W60/001 (EP) 
G05D1/0212 (US) 
G05D1/0276 (US) 
G05D1/0287 (US) 
G08G1/22 (EP) 
H04W4/024 (EP) 
H04W4/44 (EP) 
H04W4/46 (US) 
H04W76/10 (US) 
B60W2556/65 (EP) 
B60W60/001 (US) 
H04W76/14 (EP)","2022-03-03 
2023-06-27",2022-03-03,80358467,,2022-03-03,2023-06-27,US11687094B2,"
US2022066467A1",['US'],"['US11687094B2', 'US2022066467A1']"
130,MATERIALS-HANDLING SYSTEM USING AUTONOMOUS TRANSFER AND TRANSPORT VEHICLES,"LERT JR JOHN G [US] 
LERT JR  JOHN G [US]",SYMBOTIC LLC [US],"US10800606B2 
US2018065807A1",2003-08-29,"B65G1/04 
B65G1/137","B65G1/0492 (EP,US) 
B65G1/1378 (EP,US)","2018-03-08 
2020-10-13",2005-03-03,34221647,,2018-03-08,2020-10-13,US10800606B2,"
US2018065807A1",['US'],"['US10800606B2', 'US11485576B2', 'US12071303B2', 'US2005047895A1', 'US2009074545A1', 'US2010076591A1', 'US2015071743A1', 'US2018065807A1', 'US2021024288A1', 'US2023087079A1', 'US7591630B2', 'US7991505B2', 'US8784034B2', 'US9802759B2']"
131,PROACTIVE LANE CHANGE FOR AUTONOMOUS VEHICLES,"WANG LEI [US] 
WU YUJIA [US] 
ZHAO YUFEI [US] 
ZHANG WEIYANG [US] 
SUN HAOMING [US]",TUSIMPLE INC [US],"US12227205B2 
US2022227390A1",2021-01-15,"B60W30/18 
B60W60/00","B60W30/18163 (EP,CN,US) 
B60W60/001 (CN) 
B60W60/0011 (US) 
B60W60/0021 (US) 
B60W60/0023 (US) 
B60W60/00274 (EP) 
B60W2520/105 (EP) 
B60W2552/10 (US) 
B60W2552/53 (EP) 
B60W2554/4041 (EP) 
B60W2554/4049 (EP) 
B60W2554/406 (EP) 
B60W2554/802 (EP) 
B60W2556/50 (US)","2022-07-21 
2025-02-18",2022-07-20,80218589,,2022-07-21,2025-02-18,US12227205B2,"
US2022227390A1","['AU', 'CN', 'EP', 'JP', 'US']","['AU2022200113A1', 'CN114834451A', 'EP4029753A1', 'JP2022109894A', 'US12227205B2', 'US2022227390A1']"
132,Generating Testing Instances for Autonomous Vehicles,"VALOIS JEAN-SEBASTIEN [US] 
MUNOZ DANIEL [US]","AURORA INNOVATION INC [US] 
AURORA OPERATIONS INC [US]","US11086319B2 
US2020142409A1",2018-11-02,"G05B13/02 
G05D1/00 
G05D1/02","G05B13/0265 (US) 
G05D1/0088 (US) 
G05D1/0246 (US) 
G05D1/0257 (US) 
G05D1/027 (US) 
G05D1/0278 (US) 
G06N20/00 (EP) 
G06N3/08 (EP)","2020-05-07 
2021-08-10",2020-05-07,70459714,,2020-05-07,2021-08-10,US11086319B2,"
US2020142409A1","['US', 'WO']","['US11086319B2', 'US11774966B2', 'US2020142409A1', 'US2022024473A1', 'WO2020091835A1']"
133,Autonomous Team Formation and Task Negotiation Among Unmanned Vehicles,"LEMMER STEPHAN J [US] 
MOTT CAMERON R [US] 
AVERY PAUL A [US]",SOUTHWEST RES INST [US],"US10432729B2 
US2018101171A1",2016-10-10,"G05D1/00 
G06F17/11 
G08G7/00 
H04L29/08 
G08G1/00 
G08G3/02 
G08G5/00 
H04W4/46","G08G1/22 (EP,US) 
G08G3/02 (EP,US) 
G08G5/55 (EP,US) 
G08G5/57 (US) 
H04L67/12 (US) 
H04W4/46 (EP,US) 
G08G5/57 (EP)","2018-04-12 
2019-10-01",2018-04-12,61829371,,2018-04-12,2019-10-01,US10432729B2,"
US2018101171A1",['US'],"['US10432729B2', 'US2018101171A1']"
134,Message Conveying System of Rendezvous Locations for Stranded Autonomous Vehicles,LACAZE ALBERTO DANIEL [US],"LACAZE ALBERTO DANIEL [US] 
ROBOTIC RES OPCO LLC [US]","US11232711B2 
US2020312152A1",2019-03-27,"G05D1/02 
G08G1/00 
H04W4/46","G05D1/0248 (US) 
G05D1/0255 (US) 
G05D1/0293 (US) 
G05D1/0295 (US) 
G08G1/096791 (EP) 
G08G1/096822 (EP) 
G08G1/202 (US) 
G08G1/22 (EP,US) 
H04W4/46 (EP,US) 
G08G1/202 (EP) 
H04W4/02 (EP) 
H04W4/024 (EP) 
H04W4/90 (EP)","2020-10-01 
2022-01-25",2020-10-01,72606151,,2020-10-01,2022-01-25,US11232711B2,"
US2020312152A1",['US'],"['US11232711B2', 'US2020312152A1']"
135,Systems and Methods for On-Site Recovery of Autonomous Vehicles,"ZHAO DENNIS [US] 
HANSON ERIC JAMES [US] 
NIX MOLLY CASTLE [US] 
CHIN SEAN [US]","UBER TECHNOLOGIES INC [US] 
UATC LLC [US]","US10579054B2 
US2019235487A1",2018-01-29,"G05D1/00 
G08G1/127 
H04W4/02 
H04W4/44","G05D1/0027 (US) 
G06Q10/00 (EP,US) 
G06Q50/40 (EP,US) 
G08G1/127 (US) 
H04W4/02 (US) 
H04W4/44 (US)","2019-08-01 
2020-03-03",2019-08-01,67392042,,2019-08-01,2020-03-03,US10579054B2,"
US2019235487A1",,
136,"SYSTEM, DEVICE AND METHOD FOR TESTING AUTONOMOUS VEHICLES",PUNEETH NEKKUNDI SOMASHEKAR [NL],SIEMENS IND SOFTWARE NV [BE],US2024378926A1,2019-10-02,G07C5/08,"G05B17/02 (EP,CN) 
G07C5/0808 (US)",2024-11-14,2021-04-07,68136220,,2024-11-14,,US2024378926A1,,"['CN', 'EP', 'US', 'WO']","['CN114556237A', 'EP3800518A1', 'EP3997528A1', 'EP3997528B1', 'EP3997528C0', 'US2024378926A1', 'WO2021063786A1']"
137,DETECTING ACTIVITY NEAR AUTONOMOUS VEHICLES,"CHEN JIM C [US] 
KRAMER QUINTON G [US] 
NELSON JUSTIN C [US]",IBM [US],US2020019173A1,2018-07-12,"G05D1/00 
G05D1/02","G05D1/0088 (US) 
G05D1/0214 (US) 
G05D1/0285 (US) 
G05D1/0287 (US) 
G08G1/0112 (EP) 
G08G1/0129 (EP) 
G08G1/096725 (EP) 
G08G1/096775 (EP) 
G08G1/207 (EP)",2020-01-16,2020-01-16,69140134,,2020-01-16,,US2020019173A1,,"['CN', 'DE', 'JP', 'US', 'WO']","['CN112368754A', 'DE112019002394T5', 'JP2021531556A', 'US2020019173A1', 'WO2020012283A1']"
138,METHODS TO OPERATE AUTONOMOUS VEHICLES TO PILOT VEHICLES IN GROUPS OR CONVOYS,HARVEY THOMAS DANAHER [US],HARVEY THOMAS DANAHER [US],"US2016171894A1 
US9384666B1",2015-02-01,"G05D1/00 
G08G1/00 
B60W30/02 
B60W30/06 
G05B15/02","B60Q1/5037 (EP,US) 
B60Q1/507 (EP,US) 
B60Q1/508 (EP,US) 
B60Q1/547 (EP,US) 
B60W30/06 (US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G05D1/0293 (US) 
G05D1/0295 (US) 
G05D1/0297 (EP,US) 
G08G1/20 (US) 
G08G1/22 (US) 
E04H6/422 (EP,US) 
G08G1/168 (US)","2016-06-16 
2016-07-05",2016-06-16,56111735,,2016-06-16,2016-07-05,US2016171894A1,"
US9384666B1",['US'],"['US10216196B2', 'US10303182B2', 'US10303183B2', 'US10310514B2', 'US10310515B2', 'US10317911B2', 'US10317912B2', 'US10317913B2', 'US10452079B2', 'US11378981B2', 'US11630465B2', 'US2015149022A1', 'US2015370255A1', 'US2016171894A1', 'US2016224028A1', 'US2016274590A1', 'US2017038777A1', 'US2018074513A9', 'US2018299904A1', 'US2018299905A1', 'US2018299906A1', 'US2018307248A1', 'US2018307249A1', 'US2018307250A1', 'US2018307251A1', 'US2018307252A1', 'US2019377364A1', 'US2020004270A1', 'US2020125118A1', 'US2020125119A1', 'US2020125120A1', 'US2020142430A1', 'US9139199B2', 'US9298186B2', 'US9384666B1', 'US9494943B2', 'US9645578B2']"
139,Distribution and retrieval of inventory and materials using autonomous vehicles,"BRADY TYE MICHAEL [US] 
CANAVOR DARREN ERNEST [US] 
EVANS ETHAN ZANE [US] 
MISHRA PRAGYANA K [US] 
SIEGEL HILLIARD BRUCE [US]",AMAZON TECH INC [US],US10308430B1,2016-12-23,"B65G1/137 
G05D1/00 
G05D1/02 
G06F7/00 
G06Q10/08 
G06Q30/02","B65G1/1373 (US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0278 (US) 
G06Q10/083 (EP,US) 
G06Q30/0205 (EP,US)",2019-06-04,2019-06-04,66673446,,2019-06-04,,US10308430B1,,['US'],"['US10308430B1', 'US10532885B1', 'US11235929B1']"
140,Autonomous Vehicles Featuring Vehicle Intention System,"KAZEMI MOSLEM [US] 
ANDREY NICO [US] 
PERKO ERIC MICHAEL [US] 
STERNER NICHOLAS FERMIN ANDREY [US]",UATC LLC [US],"US11288963B2 
US2020250981A1",2017-08-31,"B60W30/09 
B60W30/095 
B60W40/04 
B60W50/00 
B60W50/14 
G01C21/26 
G05D1/00 
G06Q50/30 
G08G1/0967 
G08G1/16 
G06N20/00","B60W30/09 (EP,US) 
B60W30/0956 (EP,US) 
B60W40/04 (EP,US) 
B60W50/00 (US) 
B60W50/14 (EP,US) 
G01C21/26 (EP,US) 
G05D1/0088 (US) 
G06Q50/40 (EP,US) 
G08G1/096791 (US) 
G08G1/161 (US) 
G08G1/166 (US) 
B60W2050/0088 (EP,US) 
B60W2756/10 (EP,US) 
G06N20/00 (EP,US) 
G08G1/162 (EP) 
G08G1/166 (EP)","2020-08-06 
2022-03-29",2019-02-28,65434322,,2020-08-06,2022-03-29,US11288963B2,"
US2020250981A1","['US', 'WO']","['US10629080B2', 'US11288963B2', 'US2019066506A1', 'US2020250981A1', 'WO2019046199A1']"
141,Real Time Risk Assessment and Operational Changes with Semi-Autonomous Vehicles,"GIBSON TIMOTHY W [US] 
KUMAR SURENDER [US] 
MADIGAN REGINA [US]",ALLSTATE INSURANCE CO [US],"US10942038B2 
US2017234689A1",2016-02-15,"G01C21/34 
G05D1/00 
G06Q40/08","B60W50/082 (US) 
B60W50/14 (EP) 
B60W60/0015 (EP) 
B60W60/0051 (US) 
B60W60/0053 (US) 
B60W60/0059 (EP,US) 
G01C21/3461 (EP,US) 
G01C21/3492 (EP,US) 
G05D1/0061 (EP) 
G06Q40/08 (EP,US) 
B60W2552/05 (US) 
B60W2552/10 (US) 
B60W2552/30 (US) 
B60W2552/35 (US) 
B60W2554/406 (US) 
B60W2555/20 (US) 
B60W2555/60 (US) 
B60W2556/10 (EP,US) 
B60W2556/50 (EP) 
B60W2556/65 (US) 
B60W2720/10 (EP) 
B60W2756/10 (EP)","2017-08-17 
2021-03-09",2017-08-17,59561377,,2017-08-17,2021-03-09,US10942038B2,"
US2017234689A1","['CA', 'EP', 'US', 'WO']","['CA3014660A1', 'CA3014660C', 'EP3417242A1', 'EP3417242A4', 'EP3417242B1', 'US10942038B2', 'US11692838B1', 'US12146756B2', 'US2017234689A1', 'US2023280175A1', 'US2025060221A1', 'WO2017142935A1']"
142,Method and apparatus for delivering goods by collaboration of autonomous vehicles,"KIM YOUNGJOON [KR] 
LIM SEUNG HAN [KR]","PABLO AIR CO LTD [KR] 
PABLO AIR INT INC [US]",US11415981B1,2021-03-04,"B60P1/02 
B64C39/02 
G05D1/00 
G05D1/02 
G06Q10/08","B60P1/02 (US) 
B64C39/024 (KR) 
B64U10/16 (EP,US) 
B64U50/13 (EP,US) 
B66F19/00 (EP) 
B66F9/063 (EP) 
B66F9/0755 (EP) 
B66F9/24 (EP) 
G05D1/00 (KR) 
G05D1/0027 (US) 
G05D1/0287 (US) 
G05D1/0293 (EP) 
G05D1/0295 (EP) 
G05D1/69 (US) 
G05D1/692 (US) 
G06Q10/08 (KR) 
B64U2101/60 (KR) 
B64U2101/64 (EP,US) 
B64U2201/10 (US) 
B64U2201/104 (KR) 
B64U2201/20 (US)",2022-08-16,2022-01-18,80051988,,2022-08-16,,US11415981B1,,"['KR', 'US']","['KR102352793B1', 'KR102755430B1', 'KR102777308B1', 'KR20220125153A', 'KR20220125154A', 'US11415981B1', 'US11966221B2', 'US12025979B2', 'US2022357739A1', 'US2022357740A1']"
143,Multiple Destination Trips For Autonomous Vehicles,"LANDY CRISTI [US] 
MERCAY JULIEN [US] 
TANPHAICHITR SAKSIRI [US] 
FEENSTRA LAURENS ANDREAS [US] 
PANDIT SALIL [US]",WAYMO LLC [US],"US10877479B2 
US2020192363A1",2018-12-12,"G05D1/00 
G05D1/02 
G08G1/00","B60W40/04 (US) 
G05D1/0088 (US) 
G05D1/0291 (US) 
G06Q10/06315 (EP) 
G06Q10/20 (EP) 
G06Q50/40 (EP,KR) 
G08G1/005 (EP) 
G08G1/20 (US) 
G08G1/202 (EP) 
H04W4/44 (EP)","2020-06-18 
2020-12-29",2020-06-18,71072476,,2020-06-18,2020-12-29,US10877479B2,"
US2020192363A1","['AU', 'CA', 'CN', 'EP', 'JP', 'KR', 'SG', 'US', 'WO']","['AU2019397261A1', 'AU2019397261B2', 'CA3119764A1', 'CA3119764C', 'CN113168663A', 'EP3864613A1', 'EP3864613A4', 'JP2022510788A', 'JP7242853B2', 'KR102591436B1', 'KR20210076155A', 'SG11202105087RA', 'US10877479B2', 'US11714412B2', 'US12259727B2', 'US2020192363A1', 'US2021141376A1', 'US2023393575A1', 'WO2020123157A1']"
144,Generating and transmitting parking instructions for autonomous and non-autonomous vehicles,"HAYES HOWARD [US] 
MADIGAN REGINA [US] 
KUMAR SURENDER [US] 
SLUSAR MARK [US]",ALLSTATE INSURANCE CO [US],US9811085B1,2016-08-18,"G05D1/00 
G05D1/02 
G06N5/04 
G07B15/02 
G08G1/14","G05D1/0088 (US) 
G05D1/0212 (US) 
G05D1/0278 (US) 
G05D1/248 (US) 
G05D1/646 (US) 
G05D1/81 (US) 
G06N5/04 (US) 
G08G1/0112 (EP,US) 
G08G1/0116 (EP,US) 
G08G1/0133 (EP,US) 
G08G1/0141 (EP,US) 
G08G1/143 (EP,US) 
G08G1/144 (EP,US) 
G08G1/148 (EP,US)",2017-11-07,2017-11-07,60189797,,2017-11-07,,US9811085B1,,"['CA', 'EP', 'US', 'WO']","['CA3033215A1', 'CA3033215C', 'EP3500899A1', 'EP3500899A4', 'US10459442B1', 'US11281218B1', 'US11425530B2', 'US11776391B2', 'US12205461B2', 'US2018052860A1', 'US2018053237A1', 'US2023038879A1', 'US2023232185A1', 'US2024062648A1', 'US9811085B1', 'WO2018035403A1']"
145,SYSTÈMES ET PROCÉDÉS S'APPLIQUANT À DES INSPECTIONS À L'AIDE DE VÉHICULES AUTONOMES SANS PILOTE,"GHORBANI NASSER [US] 
REZAEI ALI [US] 
THE LUCIO [US] 
VAN HAECKE BERNARD [US] 
MULCHANDANI KISHORE [US]","CAMERON INT CORP [US] 
SCHLUMBERGER CA LTD [CA] 
CAMERON TECH LTD [NL]",WO2024064129A1,2022-09-19,"G01M3/04 
G05B23/02 
G05D1/00 
G06T7/70 
G08B21/12","G01M3/005 (EP) 
G05B19/4184 (EP) 
G05D1/243 (EP) 
G05D1/646 (EP) 
G05D1/689 (EP) 
G05B2219/31455 (EP) 
G05D2105/89 (EP) 
G05D2107/60 (EP) 
G05D2109/20 (EP) 
G05D2111/14 (EP) 
G05D2111/56 (EP) 
G08B29/14 (EP)",2024-03-28,2024-03-28,90455143,,2024-03-28,,WO2024064129A1,,,
146,RESPONDING TO EMERGENCY VEHICLES FOR AUTONOMOUS VEHICLES,"PARASURAM AISHWARYA [US] 
LIU XIN [US] 
LIN LUYUAN [US] 
LUDERS BRANDON DOUGLAS [US]",WAYMO LLC [US],"US11834076B2 
US2022410937A1",2021-06-28,"B60W60/00 
G05D1/02","B60W30/08 (US) 
B60W60/0025 (CN) 
B60W60/0027 (CN,US) 
B60W60/00272 (EP) 
G05D1/0214 (US) 
B60W2510/18 (US) 
B60W2520/10 (EP) 
B60W2552/05 (US) 
B60W2552/10 (EP,US) 
B60W2552/20 (US) 
B60W2552/50 (EP) 
B60W2554/20 (EP,US) 
B60W2554/402 (EP,US) 
B60W2554/4041 (US) 
B60W2554/4042 (US) 
B60W2554/4045 (US)","2022-12-29 
2023-12-05",2022-12-29,84542776,,2022-12-29,2023-12-05,US11834076B2,"
US2022410937A1","['CN', 'US']","['CN115593429A', 'US11834076B2', 'US12252157B2', 'US2022410937A1', 'US2024124030A1']"
147,Method and system for facilitating missions for autonomous vehicles,SAIBEL SERGEJ [SE],SCANIA CV AB [SE],SE1850508A1,2018-04-27,"G08G1/00 
G08G1/09","G08G1/00 (SE) 
G08G1/09 (SE)",2019-02-11,2019-02-11,65718962,,2019-02-11,,SE1850508A1,,['SE'],['SE1850508A1']
148,Automated access to secure facilities using autonomous vehicles,"BRADY TYE MICHAEL [US] 
CANAVOR DARREN ERNEST [US] 
EVANS ETHAN ZANE [US] 
MISHRA PRAGYANA K [US] 
SIEGEL HILLIARD BRUCE [US]",AMAZON TECH INC [US],US10310500B1,2016-12-23,"B65G1/137 
G05D1/00 
G05D1/02 
G06Q10/08 
G07C9/00 
H04W12/08","B60L58/12 (EP,US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0278 (EP,US) 
G05D1/028 (EP) 
G05D1/0291 (EP) 
G06Q10/08 (EP,US) 
G07C9/00182 (EP,US) 
G07C9/00571 (EP,US) 
G07C9/00896 (EP,US) 
H04W12/08 (US) 
G07C2009/00928 (EP,US) 
Y02T10/70 (EP)",2019-06-04,2019-06-04,66673272,,2019-06-04,,US10310500B1,,['US'],['US10310500B1']
149,Collision avoidance method for autonomous vehicles,KIM KI HYUK [KR],SWM CO LTD [KR],KR20210072167A,2019-12-06,"B60W30/08 
B60W30/14 
B60W30/16 
G05D1/02 
G06N3/08 
G06Q40/08","B60R11/04 (KR) 
B60W30/08 (KR) 
B60W30/143 (KR) 
B60W30/16 (KR) 
B60W40/105 (KR) 
B60W60/0015 (KR) 
G06N3/08 (KR) 
G06Q40/08 (KR) 
B60W2420/403 (KR) 
B60W2420/408 (KR) 
B60W2520/10 (KR) 
B60W2554/802 (KR) 
B60W2754/30 (KR)",2021-06-17,2021-06-17,76603580,,2021-06-17,,KR20210072167A,,,
150,UN SYSTÈME DE COMMANDE MODULAIRE POUR VÉHICULES AUTONOMES,"VRSANSKY TOMAS [SK] 
RODINA JOZEF [SK]",AIRVOLUTE S R O [SK],EP4485132A1,2023-06-27,"B64U20/80 
G06F1/16 
G06F1/18","G06F1/1633 (EP) 
G06F1/185 (EP) 
G06F2200/1635 (EP)",2025-01-01,2025-01-01,92302641,,2025-01-01,,EP4485132A1,,"['EP', 'SK']","['EP4485132A1', 'SK902023A3']"
151,SYSTEMS AND METHODS OF WARNING APPROACHING VEHICLES OF AN AUTONOMOUS VEHICLE,CEARNAL MATTHEW [US],KODIAK ROBOTICS INC [US],US2024051461A1,2022-08-09,"B60Q1/50 
G05D1/00","B60Q1/305 (EP) 
B60Q1/507 (EP,US) 
B60Q1/52 (EP) 
G05D1/0088 (US) 
B60Q2900/40 (EP)",2024-02-15,2024-02-15,89847489,,2024-02-15,,US2024051461A1,,,
152,PARKING OF AUTONOMOUS VEHICLES,"KLINE ERIC V [US] 
RAKSHIT SARBAJIT K [IN]",IBM [US],"US11192542B2 
US2020079357A1",2018-09-06,"B60W30/06 
G05D1/00 
G08G1/14","B60W30/06 (US) 
B60W60/0017 (EP) 
G05D1/0088 (US) 
G08G1/14 (US) 
G08G1/143 (EP)","2020-03-12 
2021-12-07",2020-03-12,69719444,,2020-03-12,2021-12-07,US11192542B2,"
US2020079357A1",,
153,PRE-COMPUTING ROUTES FOR AUTONOMOUS VEHICLES USING MAP SHARDS,"CHAN ANDREW [US] 
ABRAMS AUSTIN [US] 
HERBACH JOSHUA [US]",WAYMO LLC [US],"US11725954B2 
US2022042812A1",2020-08-07,"G01C21/34 
G05D1/02 
G08G1/0968","G01C21/165 (CN) 
G01C21/3415 (CN) 
G01C21/3446 (EP,US) 
G01C21/3484 (US) 
G01C21/3492 (EP) 
G01S19/47 (CN) 
G05D1/0214 (CN) 
G05D1/0223 (CN) 
G05D1/0285 (US) 
G05D1/0297 (EP) 
G08G1/096805 (EP) 
G08G1/096827 (EP,US) 
G08G1/096833 (EP)","2022-02-10 
2023-08-15",2022-02-10,80114863,,2022-02-10,2023-08-15,US11725954B2,"
US2022042812A1","['CN', 'US']","['CN114088105A', 'US11725954B2', 'US2022042812A1']"
154,SENSOR ASSEMBLY FOR AUTONOMOUS VEHICLES,"BURNETTE DONALD [US] 
HINRICHER COURT [US] 
KUVELKER JAY [US] 
WENDEL ANDREAS [US] 
ZINN JOHN [US] 
SHANE LAURA [US]",KODIAK ROBOTICS INC [US],US2022144185A1,2019-03-01,"B60R1/06 
B60R1/12 
B60R11/04 
G01S13/86 
G01S13/931 
G01S17/86 
G01S17/931 
G03B37/04 
H04N23/90","B60R1/0605 (EP,US) 
B60R1/12 (US) 
B60R11/04 (EP,US) 
G01S13/865 (EP,US) 
G01S13/867 (EP,US) 
G01S13/931 (EP,US) 
G01S17/32 (EP) 
G01S17/86 (US) 
G01S17/87 (EP) 
G01S17/931 (EP,US) 
G03B37/04 (US) 
H04N23/90 (US) 
B60R2001/1223 (US) 
B60R2001/1253 (US) 
B60R2011/004 (EP,US) 
G01S13/343 (EP) 
G01S2013/9315 (EP) 
G01S2013/9318 (EP) 
G01S2013/93185 (EP) 
G01S2013/9319 (EP) 
G01S2013/93274 (EP)",2022-05-12,2020-09-10,72337210,,2022-05-12,,US2022144185A1,,"['AU', 'CA', 'CN', 'EP', 'PL', 'US', 'WO']","['AU2020231338A1', 'AU2020231338B2', 'CA3129866A1', 'CN113677565A', 'EP3931048A1', 'EP3931048A4', 'EP3931048B1', 'EP4492095A2', 'EP4492095A3', 'PL3931048T3', 'US2022144185A1', 'US2023047244A1', 'US2023047330A1', 'US2023048707A1', 'US2023048944A1', 'US2023049599A1', 'US2023051375A1', 'US2023051970A1', 'US2023052355A1', 'US2023052632A1', 'US2023053054A1', 'US2023053265A1', 'US2023056180A1', 'US2023057515A1', 'US2023058449A1', 'US2023068067A1', 'WO2020180707A1']"
155,Traffic control method and system for mixed driving of autonomous vehicle and other vehicles,"GUO YAMING 
LI MENG 
CHEN XIANGDONG 
LIN XI",UNIV TSINGHUA,"CN112907946A 
CN112907946B",2021-01-04,"G08G1/01 
G08G1/015","G08G1/0125 (CN) 
G08G1/015 (CN)","2021-06-04 
2022-07-08",2021-06-04,76115466,,2021-06-04,2022-07-08,CN112907946A,"
CN112907946B",['CN'],"['CN112907946A', 'CN112907946B']"
