Title,Inventors,Applicants,first filing year,earliest priority year,IPC,CPC,first publication country
Layered energy management method for hydrogen fuel cell hybrid electric vehicle based on interior point method,"GAO AIYUN 
LIU JINPENG 
FU ZHUMU 
TAO FAZHAN 
WANG ZIQING 
CHEN QIHONG 
SONG SHUZHONG 
ZHANG DONGKAI 
JIAO LONGYIN 
ZHANG PING",UNIV HENAN SCIENCE & TECH,2022,2022,"['B60L50/40', 'B60L50/75', 'G06F30/15', 'G06F30/27', 'G06N5/04', 'G06Q10/04', 'G06Q10/06', 'G06Q50/30']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'G06F30/15 (CN)', 'G06F30/27 (CN)', 'G06N5/048 (CN)', 'G06Q10/04 (CN)', 'G06Q10/0639 (CN)', 'G06Q50/40 (CN)', 'G06F2111/04 (CN)', 'G06F2119/06 (CN)', 'Y02T90/40 (EP)']",CN
MOBILE CHARGING SYSTEM FOR ELECTRIC VEHICLES,"CONNOR ERIC [US] 
SEMRAU GREG [US]",MOOG INC [US],2023,2022,"['B60L53/53', 'B60L53/54', 'B60L53/57']","['B60L53/53 (EP)', 'B60L53/54 (EP)', 'B60L53/57 (EP)']",WO
Sealed nickel-metal hydride storage cells and hybrid electric vehicle having the storage cells,IKEZOE MICHINORI [JP],"NISSAN MOTOR [US] 
NISSAN MOTOR [JP]",2004,2003,"['B60L11/18', 'H01M10/34', 'H01M10/52', 'H01M4/58', 'B60L50/16', 'H01M10/30', 'H01M10/34', 'H01M10/44', 'H02J7/00', 'B60K1/00', 'H01M10/42', 'H01M6/42']","['B60K6/28 (EP,US)', 'B60K6/445 (EP,US)', 'B60L3/0046 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/64 (EP,US)', 'B60L58/14 (EP,US)', 'H01M10/345 (EP,US)', 'H01M10/44 (EP,US)', 'B60L2220/12 (EP,US)', 'B60L2220/14 (EP,US)', 'B60L2240/545 (EP,US)', 'B60L2240/547 (EP,US)', 'B60L2240/549 (EP,US)', 'H01M2010/4292 (EP,US)', 'H01M6/42 (EP,US)', 'Y02E60/10 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y10S903/905 (EP,US)', 'Y10S903/907 (EP,US)', 'Y10S903/908 (EP,US)']",US
Mobile quick charging car,"FAN PINLIANG 
FAN DEXIAN 
FAN ZHIQIANG 
ZOU GUOHUI 
HONG CHENDAN","FAN PINLIANG 
ZOU GUOHUI",2016,2016,"['B60L11/18', 'B60P3/00', 'H02J7/00']","['B60L53/00 (CN)', 'B60P3/00 (CN)', 'H02J7/0027 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",CN
Very low emission hybrid electric vehicle incorporating an integrated propulsion system including a hydrogen powered internal combustion engine and a high power Ni-MH battery pack,"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]",OVONIC BATTERY CO [US],2003,1997,"['A61K7/035', 'B60K6/24', 'B60K6/28', 'B60K6/46', 'B60K6/48', 'B60L50/64', 'F02B43/10', 'F02G1/00', 'H01M10/34', 'H01M10/50', 'H01M2/10', 'H01M2/26', 'H01M4/24', 'H01M4/38', 'H01M4/66', 'H01M4/80', 'H01M10/44', 'H01M2/16', 'H01M4/62']","['B60K1/04 (EP,US)', 'B60K6/24 (EP,US)', 'B60K6/28 (EP,US)', 'B60K6/46 (EP,US)', 'B60K6/48 (EP,US)', 'B60L50/62 (EP,US)', 'B60L50/64 (EP,US)', 'B60W10/06 (EP,US)', 'B60W10/26 (US)', 'B60W20/10 (US)', 'F02B43/10 (EP,US)', 'F02G1/00 (EP,US)', 'H01M10/345 (EP,US)', 'H01M10/443 (EP,US)', 'H01M10/486 (EP,US)', 'H01M10/613 (EP,US)', 'H01M10/625 (EP,US)', 'H01M10/647 (EP,US)', 'H01M10/651 (EP,US)', 'H01M10/6557 (EP,US)', 'H01M10/6563 (EP,US)', 'H01M10/6567 (EP,US)', 'H01M4/24 (EP,US)', 'H01M4/242 (EP,US)', 'H01M4/383 (EP,US)', 'H01M4/626 (EP,US)', 'H01M4/661 (EP,US)', 'H01M4/667 (EP,US)', 'H01M4/80 (EP,US)', 'H01M4/801 (EP,US)', 'H01M4/803 (EP,US)', 'H01M4/805 (EP,US)', 'H01M50/249 (EP,US)', 'H01M50/417 (EP,US)', 'H01M50/423 (EP,US)', 'H01M50/536 (EP,US)', 'B60K2001/005 (EP,US)', 'B60W20/00 (EP)', 'H01M10/44 (EP,US)', 'H01M10/653 (EP,US)', 'H01M4/625 (EP,US)', 'H01M4/808 (EP,US)', 'H01M50/209 (EP,US)', 'H01M50/227 (EP,US)', 'H01M50/534 (EP,US)', 'Y02E60/10 (EP,US)', 'Y02T10/30 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (US)', 'Y02T90/40 (EP,US)', 'Y10S903/903 (EP,US)', 'Y10S903/905 (EP,US)', 'Y10S903/907 (EP,US)']",US
"HYDROGEN STORAGE ALLOY, ITS PRODUCING METHOD AND SECONDARY BATTERY AND ELECTRIC VEHICLE USING THE SAME","KAWASHIMA FUMIYUKI 
ARAI TOMOHISA",TOSHIBA CORP,2001,1999,"['B22D11/06', 'C22C19/00', 'H01M10/30', 'H01M4/24', 'B22D11/06', 'C22C19/00', 'H01M10/30', 'H01M4/24', 'H01M4/38']",['Y02E60/10 (EP)'],JP
"Electric vehicle heat storage and cold storage air conditioning system, peak regulation and frequency modulation system and method","CUI HUA 
YANG YUSEN",HEPU ENERGY ENV TECH CO LTD,2020,2019,"['B60H1/00', 'B60L53/30', 'B60L53/64', 'B60L58/26', 'B60L58/27']","['B60H1/00392 (CN)', 'B60H1/00492 (CN)', 'B60H1/005 (CN)', 'B60L53/30 (CN)', 'B60L53/64 (CN)', 'B60L58/26 (CN)', 'B60L58/27 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Electric vehicle charging and discharging facility nozzle type fire alarm and fire extinguishing system based on detector,"OU HIROSHI 
ZHAO XIAORONG 
LIN JUPENG 
REN KUN 
SHI LIYAN 
YIN BINGSHUAI 
WEN KAI 
HOU LIQUN",CHINA RAILWAY CONSTR GROUP CO,2022,2021,"['A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/40', 'F24F11/89', 'F24F7/08', 'G08B17/06', 'G08B17/10', 'G08B17/12', 'H04W4/38']","['A62C3/07 (CN)', 'A62C3/16 (CN)', 'A62C31/005 (CN)', 'A62C31/28 (CN)', 'A62C37/40 (CN)', 'F24F11/89 (CN)', 'F24F7/08 (CN)', 'G08B17/06 (CN)', 'G08B17/10 (CN)', 'G08B17/125 (CN)', 'H04W4/38 (CN)', 'A62C99/0072 (CN)', 'F24F2007/001 (CN)']",CN
Intelligent fire alarm and fire extinguishing system for electric vehicle charging and discharging facilities and operation method,"OU HIROSHI 
ZHENG XIAOYAN 
LIN JUPENG 
ZHOU DAXING 
CHEN JING 
LI XIAOGE 
ZHANG YAQI 
WEN KAI 
YIN BINGSHUAI",CHINA RAILWAY CONSTR GROUP CO,2022,2021,"['A62C19/00', 'A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/00', 'A62C37/40', 'G08B17/06', 'G08B17/10', 'G08B17/12']",['unkown)'],CN
"Hydrogen fuel cell electric vehicle power assembly cooling system, test method and evaluation method","CHEN ZHENGDONG 
YU XIANG 
WANG WENKUI 
ZHAO WENTIAN 
LI BAOQUAN 
LI HONGBO 
LI SONGLIN",CHINA FAW GROUP CORP,2022,2022,"['H01M8/04007', 'H01M8/04029', 'H01M8/04992']","['H01M8/04007 (CN)', 'H01M8/04029 (CN)', 'H01M8/04074 (CN)', 'H01M8/04992 (CN)']",CN
Community direct current micro-grid charging system and method,"HUANG WEI 
LUO KEYING 
WAN QIN 
LIU HAIQIAO 
WANG CHAO 
LI YIKANG",HUNAN INST ENGINEERING,2024,2024,"['B60L53/10', 'B60L53/50', 'B60L53/53', 'B60L53/62', 'B60L53/63', 'B60L53/68']","['B60L53/11 (CN)', 'B60L53/50 (CN)', 'B60L53/53 (CN)', 'B60L53/62 (CN)', 'B60L53/63 (CN)', 'B60L53/68 (CN)']",CN
Container type methanol-to-hydrogen energy station system,"RONG ZIHAI 
LIU JIANG 
TANG DAWEI 
SHEN DI",ZHEJIANG BENYUAN CHUNQING TECH CO LTD,2022,2022,"['H01M8/04082', 'H01M8/04089', 'H01M8/1011']","['H01M8/04089 (CN)', 'H01M8/04201 (CN)', 'H01M8/1011 (CN)', 'Y02T90/12 (EP)']",CN
DELIVERY CHARGER FOR ELECTRIC VEHICLE,"MOORE MICHAEL [US] 
BRANSON JON [US] 
STEFFENS GREG [US] 
VERHAGEN JEFF [US]",OSHKOSH CORP [US],2023,2022,"['B60L53/18', 'B60L53/50', 'B60L53/53', 'B60L53/54', 'B60L53/00']","['B60K1/04 (EP)', 'B60L50/15 (EP)', 'B60L53/18 (US)', 'B60L53/50 (US)', 'B60L53/53 (US)', 'B60L53/54 (US)', 'B60K2001/0405 (EP)', 'B60K2016/003 (EP)', 'B60Y2200/1422 (EP)', 'B60Y2200/144 (EP)', 'B60Y2200/15 (EP)', 'B60Y2400/202 (EP)', 'B60Y2400/204 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",US
Electric automobile charging load estimation method considering random characteristics,QIAN KEJUN,"SUZHOU POWER SUPPLY CO JIANGSU ELECTRIC POWER CO 
STATE GRID CORP CHINA",2016,2015,"['G06Q10/04', 'G06Q50/06']",['unkown)'],CN
Fuel cell moving charging vehicle and charging controlling method thereof,SUN LEI,WEICHAI POWER CO LTD,2018,2017,['B60L11/18'],"['B60L53/14 (CN)', 'B60L58/10 (CN)', 'B60L58/12 (CN)', 'B60L58/30 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",CN
Method and system for multi-energy flow management and control of road traffic energy system,"WANG LEI 
LI YOU 
ZHU ZHENDE 
LIAN TAO 
SHI FENGJIE 
DU XIAOYUN 
ZHANG ZHANFENG 
ZHANG WEIPING 
SU SU 
XIA MINGCHAO 
LIU QIUJIANG 
NIE XIAOBO 
CHEN QIFANG 
REN PENGPENG 
WEI CUNHAO 
WANG PENG","CCCC MECH & ELEC ENG CO LTD 
UNIV BEIJING JIAOTONG",2024,2024,"['G06F30/20', 'G06Q10/04', 'G06Q30/0201', 'G06Q50/06', 'G06Q50/26', 'H02J3/28', 'H02J3/32', 'H02J3/46', 'G06F111/04']","['G06F30/20 (CN)', 'G06Q10/04 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)', 'G06Q50/26 (CN)', 'H02J3/28 (CN)', 'H02J3/32 (CN)', 'H02J3/466 (CN)', 'G06F2111/04 (CN)', 'H02J2203/20 (CN)', 'H02J2300/20 (CN)', 'H02J2300/40 (CN)']",CN
Electric spark fault alarm and alarm method for direct-current power supply system of electric vehicle,LI MINGWEI,DALIAN JIANGSU INSTITUTE OF RES CO LTD,2022,2021,['B60L3/00'],"['B60L3/0046 (CN)', 'Y04S30/12 (EP)']",CN
Electric vehicle charging station with multiple alternating current power supply ports and multiple direct current buses,"LI JIN 
JIAO NANA 
FAN YUSHUN 
DANG ENSHUAI",UNIV SHANGHAI ELECTRIC POWER,2021,2021,"['B60L53/30', 'B60L53/60']","['B60L53/30 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)']",CN
Electro-hydrogen production and charging integrated station,"GUO DONGXU 
LI NA 
YANG JIALIN 
LYU CHENGYOU 
WANG BING 
GE YANGYANG 
MA XINTONG 
ZHANG XIAOTONG","STATE GRID INTEGRATED ENERGY SERVICE GROUP CO LTD 
ELECTRIC POWER RES INST STATE GRID LIAONING ELECTRIC POWER CO LTD",2023,2023,"['B60L53/54', 'C25B1/04', 'C25B9/60', 'C25B9/65', 'F17C13/00', 'F17C5/06', 'H01M8/0656']","['B60L53/54 (CN)', 'C25B1/04 (CN)', 'C25B9/60 (CN)', 'C25B9/65 (CN)', 'F17C13/00 (CN)', 'F17C5/06 (CN)', 'H01M8/0656 (CN)', 'F17C2221/012 (CN)', 'F17C2265/065 (CN)', 'F17C2270/0178 (CN)', 'F17C2270/0184 (CN)']",CN
HYBRID ELECTRIC VEHICLE AND METHODS OF PRODUCTION,"GOODWIN JOHNATHAN [US] 
KRUGER ULI [AU] 
YOUNG NEIL [US]","GOODWIN JOHNATHAN [US] 
KRUGER ULI [AU] 
YOUNG NEIL [US]",2009,2008,"['B60L50/15', 'B60W10/04', 'B60W10/24', 'B60W20/00', 'F16H3/74']","['B60K6/28 (EP,US)', 'B60K6/46 (EP,US)', 'B60L15/20 (EP,US)', 'B60L3/0023 (EP,US)', 'B60L50/40 (EP,US)', 'B60L50/62 (EP,US)', 'B60L58/12 (EP,US)', 'B60L7/10 (EP,US)', 'B60W10/26 (EP,US)', 'B60L2240/36 (EP,US)', 'B60L2270/145 (EP,US)', 'B60Y2400/114 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (US)', 'Y02T10/72 (EP,US)']",US
New energy automobile charging device,YUAN QIONG,CHONGQING INDUSTRY POLYTECHNIC COLLEGE,2020,2020,"['B60L50/70', 'B60L53/31', 'H01M8/04082', 'H02J1/00', 'H02J1/10', 'H02J5/00', 'H02J7/00', 'H02J7/34', 'H02J7/35']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP)']",CN
Electric motor car battery equipment,ZHOU YONGJUN,DONGGUAN LHT POWER TECH CO LTD,2016,2015,"['H01M50/213', 'H01M50/249', 'H01M50/256']",['Y02E60/10 (EP)'],CN
ALLOCATION SYSTEM FOR TRANSPORT VEHICLES,"NAKAMURA MASASHI 
HAYAKAWA TOMOHIRO 
OURA JUNICHI 
MISAIJI YUKI 
IWAMOTO MASAHIRO 
KATAOKA TAKAO 
HAYASHI TATSUYUKI 
MORIMOTO SAKI",TOYOTA MOTOR CORP,2023,2021,"['B60L15/20', 'G08G1/123', 'G16Y10/40', 'G16Y40/30']",['unkown)'],JP
Water-to-hydrogen charging device for electric automobile,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,2016,2015,"['C01B3/32', 'H01M8/04089', 'H01M8/22', 'H02J7/00']","['C01B3/32 (CN)', 'H01M8/04201 (CN)', 'H01M8/22 (CN)', 'H02J7/0027 (CN)', 'Y02E60/50 (EP)']",CN
Vehicle energy charging service station and method for providing vehicle energy charging service,"LI YINAN 
ZHENG NAN 
CHEN JINCHUN 
CHEN GUANNAN 
LIN XIAOFAN 
CHEN WANQING 
CHEN HAN 
CHEN SIMIN 
CHEN KEREN 
DU YI 
SHI PENGJIA 
CAI QIYUAN 
LIM CHANG-YOUNG 
LI YUANFEI 
XIANG KANGLI 
WU QIAN 
WANG QIAO 
XU DONGJIE 
HU MING",ECONOMIC RES INST STATE GRID FUJIAN ELECTRIC POWER CO LTD,2023,2021,"['B60L50/60', 'B60L50/70', 'B60L53/51', 'B60L53/52', 'B60L53/53', 'B60S5/02', 'C25B1/04', 'F17C5/00', 'F17C7/00', 'H02J15/00', 'H02J3/32', 'H02J3/38']","['B60L50/60 (CN)', 'B60L50/70 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/53 (CN)', 'B60S5/02 (CN)', 'C25B1/04 (CN)', 'F17C5/00 (CN)', 'F17C7/00 (CN)', 'H02J15/008 (CN)', 'H02J3/322 (CN)', 'H02J3/38 (CN)', 'H02J2300/24 (CN)', 'H02J2300/28 (CN)', 'Y02T10/70 (EP)']",CN
Automatic charging device of new energy electric automobile,"HE GUOTIAN 
WANG ZHONGXUN 
ZHU XIAOQIANG 
ZHAO JIAN 
LIU YONGFU 
CHEN XI 
ZUO JIAQI",CHONGQING INST GREEN & INTELLIGENT TECHNOLOGY,2013,2012,['H02J7/14'],['Y02T10/70 (EP)'],CN
Fire extinguishing system of electric vehicle charging and discharging facility using fireproof unit wall,"OU HIROSHI 
LI YING 
MA LI 
CHEN JING 
LI XIAOGE 
ZHANG LEI 
HOU LIQUN 
ZHANG YAQI 
SHI LIYAN 
GUO WEI 
YIN BINGSHUAI",CHINA RAILWAY CONSTR GROUP CO,2022,2021,"['A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/00']","['Y02T90/167 (EP)', 'Y04S30/12 (EP)']",CN
High-voltage power distribution system of fuel cell hybrid electric vehicle,"CHENG SONGLIN 
CAI JUN 
YU DEHU 
LIU WEI",WUHAN DLAGI HIGH TECH AUTOMOTIVE ELECTRIC CO LTD,2020,2019,"['B60L3/00', 'B60L58/30']",['Y02T90/40 (EP)'],CN
High-volume nickel metal hydride assembly battery of electric automobile,"CHEN WENHONG 
CHEN WENMING 
CHEN DUANDIAN 
LI PEIKUN",QUANZHOU JINTION ELECTRONICS CO LTD,2016,2016,"['B60L11/18', 'H01M10/42', 'H02J7/04']","['B60L58/26 (CN)', 'H01M10/425 (CN)', 'H02J7/04 (CN)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",CN
Gas replacement system of fuel cell hybrid electric vehicle and control method thereof,"WANG BO 
WU XINGCHENG 
CHEN MING 
WANG ZIJIAN 
HE CHONG",DONGFENG MOTOR GROUP CO LTD,2021,2021,"['B60K13/02', 'B60K13/04', 'B60R16/02']","['B60K13/02 (CN)', 'B60K13/04 (CN)', 'B60R16/02 (CN)']",CN
Energy management control method and system for hybrid electric vehicle,"YANG HUIMIN 
LI KEDI 
TONG ZHEN 
DAI JUNYANG",SAIC VOLKSWAGEN AUTOMOTIVE CO LTD,2020,2020,['B60L58/40'],"['B60L58/40 (CN)', 'B60L2240/54 (CN)', 'Y02T10/70 (EP)']",CN
VEHICLE SYSTEM HAVING FUNCTION OF PREVENTING OCCURRENCE FACTORS OF SUDDEN UNINTENDED ACCELERATION,YOON DONG-GU [KR],STORAGEAN INC [KR],2019,2017,"['B60W10/06', 'B60W10/08', 'B60W10/26', 'B60W20/13', 'H01M16/00', 'H01M8/04082', 'H01M8/04746', 'H01M8/0606']","['B60K15/03 (EP,US)', 'B60K15/077 (KR)', 'B60L1/02 (KR)', 'B60L15/20 (EP)', 'B60L3/00 (EP)', 'B60L50/75 (EP,US)', 'B60L53/24 (KR)', 'B60L58/40 (EP)', 'B60W10/06 (US)', 'B60W10/08 (US)', 'B60W10/26 (US)', 'B60W10/28 (US)', 'B60W20/13 (US)', 'H01M10/482 (EP,KR,US)', 'H01M16/006 (EP,US)', 'H01M8/04201 (US)', 'H01M8/0438 (KR)', 'H01M8/04567 (EP)', 'H01M8/04619 (EP)', 'H01M8/04746 (KR)', 'H01M8/04776 (US)', 'H01M8/0606 (US)', 'H01M8/0612 (EP,US)', 'H02J1/109 (EP)', 'H02J7/0013 (EP)', 'H02J7/1423 (EP)', 'H02J7/1438 (EP)', 'H02J7/1446 (EP)', 'H02J7/34 (EP)', 'B60K2015/03256 (KR)', 'B60L2210/10 (US)', 'B60W2710/08 (US)', 'B60W2710/242 (US)', 'B60Y2200/91 (KR)', 'B60Y2200/92 (US)', 'B60Y2400/434 (US)', 'H01M2250/20 (EP,US)', 'H01M8/04291 (EP)', 'H02J2310/48 (EP)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T10/92 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",US
FUSION-COMBINATION CHARGING SYSTEMS AND CONTROL METHOD THEREOF,YOO JAEYOO,LG ELECTRONICS INC [KR],2021,2020,"['B60L53/60', 'B60L58/30', 'H01M8/04089', 'H01M8/04828']","['B60L3/0046 (KR)', 'B60L53/60 (KR)', 'B60L55/00 (KR)', 'B60L58/12 (KR)', 'B60L58/30 (KR)', 'B60L58/40 (KR)', 'H01M8/04089 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'B60L2240/54 (KR)', 'B60Y2200/90 (KR)', 'H01M2250/20 (KR)', 'H02J2207/40 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP,KR)']",KR
Electric automobile charging station and method based on renewable energy source,"ZHANG ZHIGANG 
FAN QINGKE",ZHEJIANG AGRICULTURAL BUSINESS COLLEGE,2017,2017,"['B60L11/18', 'H02J7/00']","['B60L53/00 (CN)', 'B60L53/12 (CN)', 'B60L53/14 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'B60L53/60 (CN)', 'H02J7/0027 (CN)', 'Y02E60/36 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",CN
FUEL CELL SYSTEM OF ELECTRIC VEHICLE,"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE",MITSUBISHI MOTORS CORP,2019,2018,"['B60L3/00', 'B60L50/40', 'B60L50/50', 'B60L53/00', 'B60L55/00', 'B60L58/00', 'H01M8/00', 'H01M8/04', 'H01M8/04303', 'H01M8/0438', 'H01M8/04537', 'H01M8/04746']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",JP
Solar electric car charging pile having light condensation function,LI FENG,XI'AN SHANGSHANG ELECTROMECHANICAL CO LTD,2016,2014,"['H02J7/00', 'H02S40/22']","['Y02B10/10 (EP)', 'Y02E10/52 (EP)']",CN
Power supply system with hydrogen fuel cell,"SONG KAI-TAI [TW] 
WANG SZ-SHENG [TW] 
SONG SHAO-HUAN [TW]",UNIV NATIONAL CHIAO TUNG [TW],2019,2018,"['H01M8/04', 'H02J7/34']","['B60L50/90 (US)', 'B60L53/53 (EP)', 'B60L53/54 (EP)', 'B60L58/21 (US)', 'B60L58/31 (US)', 'B60L58/40 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP)']",TW
Environment-friendly and high-efficiency hybrid electric vehicle,QIU DI,"RUILAI INT DEVELOPMENT CO LTD 
QIU DI",2020,2018,"['B60L53/14', 'C10L1/02', 'C10L1/182', 'C10L1/188', 'C10L1/198', 'C10L1/222', 'C10L1/232']","['C10L1/02 (CN)', 'C10L1/143 (CN)', 'C10L1/1824 (CN)', 'C10L1/188 (CN)', 'C10L1/1983 (CN)', 'C10L1/2225 (CN)', 'C10L1/232 (CN)', 'C10L2230/22 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",CN
Automatic charge device of storage battery car,SHUYIN YAO,SHUYIN YAO,2010,2009,"['H02J7/00', 'H02K7/18']",['Y02T10/64 (EP)'],CN
Electric automotive system and air conditioning apparatus system for generation,YUN DONG GOO [KR],STORAGEAN INC [KR],2018,2017,"['B60K15/03', 'B60L11/18', 'B60L15/20', 'B60L3/00', 'H01M8/0438', 'H01M8/04746']","['B60K15/03006 (KR)', 'B60K15/077 (KR)', 'B60K28/14 (KR)', 'B60L15/20 (KR)', 'B60L3/0046 (KR)', 'B60L3/0092 (KR)', 'B60L50/50 (KR)', 'B60L58/13 (KR)', 'B60L58/18 (KR)', 'H01M8/0438 (KR)', 'H01M8/04746 (KR)', 'B60K2015/03026 (KR)', 'B60K2015/03098 (KR)', 'B60K2015/0321 (KR)', 'B60K2015/03236 (KR)', 'B60K2015/03315 (KR)', 'B60K2015/03414 (KR)', 'B60K2015/03427 (KR)', 'B60L2240/547 (KR)', 'B60Y2200/91 (KR)', 'B60Y2400/30 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (KR)', 'Y02T10/72 (EP)']",KR
INDOOR AC POWER OUTLET HAVING USB CHARGE PORT FOR ELECTRIC VEHICLE AND HYDROGEN VEHICLE,"LEE JUNG MOON 
LEE SANG KYU 
LEE JOUN KYU",YOUNG HWA TECH CO LTD [KR],2022,2021,"['H01R13/10', 'H01R13/447', 'H01R13/639', 'H01R13/717', 'H01R24/60', 'H01R27/02', 'H01R103/00', 'H01R107/00']","['H01R13/10 (KR)', 'H01R13/447 (KR)', 'H01R13/639 (KR)', 'H01R13/7175 (KR)', 'H01R24/60 (KR)', 'H01R27/02 (KR)', 'H01R2103/00 (KR)', 'H01R2107/00 (KR)', 'H01R2201/26 (KR)', 'Y02T10/70 (EP)']",KR
Electric vehicle charging station with multiple alternating current power supply ports and multiple direct current buses,"LI JIN 
JIAO NANA 
FAN YUSHUN 
DANG ENSHUAI",UNIV SHANGHAI ELECTRIC POWER,2022,2021,"['B60L53/30', 'B60L53/60']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
ENERGY TRANSPORT SYSTEM AND TRANSPORT METHOD THEREOF,LEE YOONHEE [US],LEE YOONHEE [US],2021,2019,"['B60L53/00', 'B60L53/12', 'B60L53/14', 'B60L58/12', 'H02J50/10', 'H02J50/90', 'H02J7/00', 'H02J7/02']","['B60L53/00 (US)', 'B60L53/12 (EP,US)', 'B60L53/14 (EP,US)', 'B60L53/57 (EP)', 'B60L58/12 (EP,US)', 'H02J50/10 (US)', 'H02J50/90 (US)', 'H02J7/00045 (US)', 'H02J7/0045 (US)', 'H02J7/0048 (US)', 'H02J7/02 (US)', 'B60L2260/32 (EP)', 'H02J50/10 (EP)', 'H02J7/342 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",US
Integrated hydrogen fuel power supply device for hydrogen fuel electric vehicle,"ZHENG XIANGYANG 
LI JIANGTAO",JINHUA COORDINATE IND DESIGN CO LTD,2024,2024,"['B60L50/70', 'B62J43/16', 'B62J50/30']",['unkown)'],CN
CHARGER FOR A SERVICE BATTERY OF AN ELECTRIC VEHICLE AND ELECTRIC VEHICLE COMPRISING SUCH A CHARGER,MOUCHET JACQUES [FR],ATEQ [FR],2024,2020,"['B60L53/57', 'H02J7/00', 'H02J7/34']","['B60L53/11 (EP)', 'B60L53/57 (EP,US)', 'H02J7/00304 (EP,US)', 'H02J7/342 (EP,US)', 'H02J2207/20 (EP)', 'H02J2310/48 (EP,US)', 'H02J7/00032 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",US
ELECTRIC VEHICLE TRANPORTATION SYSTEM,ARIAN ASSL JAMSHID [BE],ARIAN ASSL JAMSHID [BE],2009,2008,"['B60L11/18', 'H02J7/04']","['B60L53/11 (EP)', 'B60L53/35 (EP)', 'B60L58/10 (EP)', 'H02J7/007 (EP)', 'H02J7/04 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",WO
