"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"183";"Electric vehicle energy service station based on SOFC, and running control method thereof";"LI HANG 
LI WENYING 
WANG SHAORONG";"SICHUAN ENERGY INT RES INST TSINGHUA UNIV";"CN109703408A 
CN109703408B";"2018-12-12";"B60L53/57 
B60L53/66 
F17C13/02 
F17C5/04 
H02J3/38";"Y02A30/60 (EP) 
Y02E60/32 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2019-05-03 
2020-05-26";"2019-05-03";"066256217";
"184";"MOBILE DEVICE FOR CHARGING ELECTRIC VEHICLES";"LASHIN DMITRII ALEKSANDROVICH [RU]";"LASHIN DMITRII ALEKSANDROVICH [RU]";"WO2023128778A1";"2021-12-27";"B60L53/53 
B60L53/57 
H02J7/00";"B60L53/53 (EP) 
B60L53/57 (EP) 
H02J7/00 (EP) 
Y02T10/70 (EP)";"2023-07-06";"2023-07-06";"086999836";
"185";"Charging and water replenishing station for electric vehicle";"SUN YIFEI 
CAI JIABIN";"XIAMEN GULUOPU TECH CO LTD";"CN115092000A";"2022-07-25";"B60L53/31 
B60L53/53 
B60L53/54 
H02J7/00";"B60L53/31 (CN) 
B60L53/53 (CN) 
B60L53/54 (CN) 
H02J7/00 (CN) 
Y02T90/14 (EP)";"2022-09-23";"2022-09-23";"083297827";
"186";"Multifunctional hydrogen refueling station based on fuel cell";"HOU ZHIPENG 
ZHANG WEIDONG 
GUO YAFENG 
CHEN LIHUA";"SHAOXING SHENSEN ENERGY SCIENCE AND TECH LIMITED COMPANY";"CN216597646U";"2022-01-17";"B60L53/30 
E04H3/00 
F24D15/00 
F24D19/10 
H01M8/04 
H01M8/04082 
H01M8/0606";"Y02B10/70 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2022-05-24";"2022-05-24";"081635550";
"187";"BATTERY RECYCLE POWER STORAGE SYSTEM FOR ELECTRIC VEHICLE";"TANAKA KATSUMI";"TANAKA KATSUMI";"JP2021072761A";"2019-11-01";"B60K1/04 
B60K6/28 
B60L50/61 
B60L53/80 
H01M10/42 
H01M10/44 
H01M50/20 
H02J7/00";"Y02E60/10 (EP) 
Y02T10/62 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2021-05-06";"2021-05-06";"075713880";
"188";"Layered energy management method for hydrogen fuel cell hybrid electric vehicle based on interior point method";"GAO AIYUN 
LIU JINPENG 
FU ZHUMU 
TAO FAZHAN 
WANG ZIQING 
CHEN QIHONG 
SONG SHUZHONG 
ZHANG DONGKAI 
JIAO LONGYIN 
ZHANG PING";"UNIV HENAN SCIENCE & TECH";"CN115009049A";"2022-06-28";"B60L50/40 
B60L50/75 
G06F30/15 
G06F30/27 
G06N5/04 
G06Q10/04 
G06Q10/06 
G06Q50/30";"B60L50/40 (CN) 
B60L50/75 (CN) 
G06F30/15 (CN) 
G06F30/27 (CN) 
G06N5/048 (CN) 
G06Q10/04 (CN) 
G06Q10/0639 (CN) 
G06Q50/40 (CN) 
G06F2111/04 (CN) 
G06F2119/06 (CN) 
Y02T90/40 (EP)";"2022-09-06";"2022-09-06";"083078079";
"189";"MOBILE CHARGING SYSTEM FOR ELECTRIC VEHICLES";"CONNOR ERIC [US] 
SEMRAU GREG [US]";"MOOG INC [US]";"WO2023158611A2 
WO2023158611A3";"2022-02-17";"B60L53/53 
B60L53/54 
B60L53/57";"B60L53/53 (EP) 
B60L53/54 (EP) 
B60L53/57 (EP)";"2023-08-24 
2023-10-12";"2023-08-24";"086054241";
"190";"Sealed nickel-metal hydride storage cells and hybrid electric vehicle having the storage cells";"IKEZOE MICHINORI [JP]";"NISSAN MOTOR [US] 
NISSAN MOTOR [JP]";"US2004180256A1 
US7353894B2";"2003-03-10";"B60L11/18 
H01M10/34 
H01M10/52 
H01M4/58 
B60L50/16 
H01M10/30 
H01M10/34 
H01M10/44 
H02J7/00 
B60K1/00 
H01M10/42 
H01M6/42";"B60K6/28 (EP,US) 
B60K6/445 (EP,US) 
B60L3/0046 (EP,US) 
B60L50/16 (EP,US) 
B60L50/61 (EP,US) 
B60L50/64 (EP,US) 
B60L58/14 (EP,US) 
H01M10/345 (EP,US) 
H01M10/44 (EP,US) 
B60L2220/12 (EP,US) 
B60L2220/14 (EP,US) 
B60L2240/545 (EP,US) 
B60L2240/547 (EP,US) 
B60L2240/549 (EP,US) 
H01M2010/4292 (EP,US) 
H01M6/42 (EP,US) 
Y02E60/10 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y10S903/905 (EP,US) 
Y10S903/907 (EP,US) 
Y10S903/908 (EP,US)";"2004-09-16 
2008-04-08";"2004-09-15";"032767888";
"191";"Mobile quick charging car";"FAN PINLIANG 
FAN DEXIAN 
FAN ZHIQIANG 
ZOU GUOHUI 
HONG CHENDAN";"FAN PINLIANG 
ZOU GUOHUI";"CN105539251A";"2016-01-21";"B60L11/18 
B60P3/00 
H02J7/00";"B60L53/00 (CN) 
B60P3/00 (CN) 
H02J7/0027 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2016-05-04";"2016-05-04";"055818962";
"192";"Very low emission hybrid electric vehicle incorporating an integrated propulsion system including a hydrogen powered internal combustion engine and a high power Ni-MH battery pack";"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]";"OVONIC BATTERY CO [US]";"US2003157045A1 
US6759034B2";"1997-01-31";"A61K7/035 
B60K6/24 
B60K6/28 
B60K6/46 
B60K6/48 
B60L50/64 
F02B43/10 
F02G1/00 
H01M10/34 
H01M10/50 
H01M2/10 
H01M2/26 
H01M4/24 
H01M4/38 
H01M4/66 
H01M4/80 
H01M10/44 
H01M2/16 
H01M4/62";"B60K1/04 (EP,US) 
B60K6/24 (EP,US) 
B60K6/28 (EP,US) 
B60K6/46 (EP,US) 
B60K6/48 (EP,US) 
B60L50/62 (EP,US) 
B60L50/64 (EP,US) 
B60W10/06 (EP,US) 
B60W10/26 (US) 
B60W20/10 (US) 
F02B43/10 (EP,US) 
F02G1/00 (EP,US) 
H01M10/345 (EP,US) 
H01M10/443 (EP,US) 
H01M10/486 (EP,US) 
H01M10/613 (EP,US) 
H01M10/625 (EP,US) 
H01M10/647 (EP,US) 
H01M10/651 (EP,US) 
H01M10/6557 (EP,US) 
H01M10/6563 (EP,US) 
H01M10/6567 (EP,US) 
H01M4/24 (EP,US) 
H01M4/242 (EP,US) 
H01M4/383 (EP,US) 
H01M4/626 (EP,US) 
H01M4/661 (EP,US) 
H01M4/667 (EP,US) 
H01M4/80 (EP,US) 
H01M4/801 (EP,US) 
H01M4/803 (EP,US) 
H01M4/805 (EP,US) 
H01M50/249 (EP,US) 
H01M50/417 (EP,US) 
H01M50/423 (EP,US) 
H01M50/536 (EP,US) 
B60K2001/005 (EP,US) 
B60W20/00 (EP) 
H01M10/44 (EP,US) 
H01M10/653 (EP,US) 
H01M4/625 (EP,US) 
H01M4/808 (EP,US) 
H01M50/209 (EP,US) 
H01M50/227 (EP,US) 
H01M50/534 (EP,US) 
Y02E60/10 (EP,US) 
Y02T10/30 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (US) 
Y02T90/40 (EP,US) 
Y10S903/903 (EP,US) 
Y10S903/905 (EP,US) 
Y10S903/907 (EP,US)";"2003-08-21 
2004-07-06";"2002-07-25";"025507829";
"193";"HYDROGEN STORAGE ALLOY, ITS PRODUCING METHOD AND SECONDARY BATTERY AND ELECTRIC VEHICLE USING THE SAME";"KAWASHIMA FUMIYUKI 
ARAI TOMOHISA";"TOSHIBA CORP";"JP2001107165A 
JP4659936B2";"1999-09-30";"B22D11/06 
C22C19/00 
H01M10/30 
H01M4/24 
B22D11/06 
C22C19/00 
H01M10/30 
H01M4/24 
H01M4/38";"Y02E60/10 (EP)";"2001-04-17 
2011-03-30";"2001-04-17";"017626968";
"194";"Electric vehicle heat storage and cold storage air conditioning system, peak regulation and frequency modulation system and method";"CUI HUA 
YANG YUSEN";"HEPU ENERGY ENV TECH CO LTD";"CN111055656A";"2019-12-31";"B60H1/00 
B60L53/30 
B60L53/64 
B60L58/26 
B60L58/27";"B60H1/00392 (CN) 
B60H1/00492 (CN) 
B60H1/005 (CN) 
B60L53/30 (CN) 
B60L53/64 (CN) 
B60L58/26 (CN) 
B60L58/27 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2020-04-24";"2020-04-24";"070306101";
"195";"Electric vehicle charging and discharging facility nozzle type fire alarm and fire extinguishing system based on detector";"OU HIROSHI 
ZHAO XIAORONG 
LIN JUPENG 
REN KUN 
SHI LIYAN 
YIN BINGSHUAI 
WEN KAI 
HOU LIQUN";"CHINA RAILWAY CONSTR GROUP CO";"CN114191744A";"2021-11-17";"A62C3/07 
A62C3/16 
A62C31/00 
A62C31/28 
A62C37/40 
F24F11/89 
F24F7/08 
G08B17/06 
G08B17/10 
G08B17/12 
H04W4/38";"A62C3/07 (CN) 
A62C3/16 (CN) 
A62C31/005 (CN) 
A62C31/28 (CN) 
A62C37/40 (CN) 
F24F11/89 (CN) 
F24F7/08 (CN) 
G08B17/06 (CN) 
G08B17/10 (CN) 
G08B17/125 (CN) 
H04W4/38 (CN) 
A62C99/0072 (CN) 
F24F2007/001 (CN)";"2022-03-18";"2022-03-18";"080647879";
"196";"Intelligent fire alarm and fire extinguishing system for electric vehicle charging and discharging facilities and operation method";"OU HIROSHI 
ZHENG XIAOYAN 
LIN JUPENG 
ZHOU DAXING 
CHEN JING 
LI XIAOGE 
ZHANG YAQI 
WEN KAI 
YIN BINGSHUAI";"CHINA RAILWAY CONSTR GROUP CO";"CN114288585A";"2021-11-17";"A62C19/00 
A62C3/07 
A62C3/16 
A62C31/00 
A62C31/28 
A62C37/00 
A62C37/40 
G08B17/06 
G08B17/10 
G08B17/12";"";"2022-04-08";"2022-04-08";"080965144";
"197";"Hydrogen fuel cell electric vehicle power assembly cooling system, test method and evaluation method";"CHEN ZHENGDONG 
YU XIANG 
WANG WENKUI 
ZHAO WENTIAN 
LI BAOQUAN 
LI HONGBO 
LI SONGLIN";"CHINA FAW GROUP CORP";"CN114824357A 
CN114824357B";"2022-03-31";"H01M8/04007 
H01M8/04029 
H01M8/04992";"H01M8/04007 (CN) 
H01M8/04029 (CN) 
H01M8/04074 (CN) 
H01M8/04992 (CN)";"2022-07-29 
2024-05-07";"2022-07-29";"082532979";
"198";"Community direct current micro-grid charging system and method";"HUANG WEI 
LUO KEYING 
WAN QIN 
LIU HAIQIAO 
WANG CHAO 
LI YIKANG";"HUNAN INST ENGINEERING";"CN117863950A";"2024-02-26";"B60L53/10 
B60L53/50 
B60L53/53 
B60L53/62 
B60L53/63 
B60L53/68";"B60L53/11 (CN) 
B60L53/50 (CN) 
B60L53/53 (CN) 
B60L53/62 (CN) 
B60L53/63 (CN) 
B60L53/68 (CN)";"2024-04-12";"2024-04-12";"090588664";
"199";"Container type methanol-to-hydrogen energy station system";"RONG ZIHAI 
LIU JIANG 
TANG DAWEI 
SHEN DI";"ZHEJIANG BENYUAN CHUNQING TECH CO LTD";"CN114865002A";"2022-05-17";"H01M8/04082 
H01M8/04089 
H01M8/1011";"H01M8/04089 (CN) 
H01M8/04201 (CN) 
H01M8/1011 (CN) 
Y02T90/12 (EP)";"2022-08-05";"2022-08-05";"082639869";
"200";"DELIVERY CHARGER FOR ELECTRIC VEHICLE";"MOORE MICHAEL [US] 
BRANSON JON [US] 
STEFFENS GREG [US] 
VERHAGEN JEFF [US]";"OSHKOSH CORP [US]";"US11878599B2 
US2023311682A1";"2022-03-31";"B60L53/18 
B60L53/50 
B60L53/53 
B60L53/54 
B60L53/00";"B60K1/04 (EP) 
B60L50/15 (EP) 
B60L53/18 (US) 
B60L53/50 (US) 
B60L53/53 (US) 
B60L53/54 (US) 
B60K2001/0405 (EP) 
B60K2016/003 (EP) 
B60Y2200/1422 (EP) 
B60Y2200/144 (EP) 
B60Y2200/15 (EP) 
B60Y2400/202 (EP) 
B60Y2400/204 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2023-10-05 
2024-01-23";"2023-10-05";"088195330";
"201";"Electric automobile charging load estimation method considering random characteristics";"QIAN KEJUN";"SUZHOU POWER SUPPLY CO JIANGSU ELECTRIC POWER CO 
STATE GRID CORP CHINA";"CN105260807A";"2015-11-30";"G06Q10/04 
G06Q50/06";"";"2016-01-20";"2016-01-20";"055100486";
"202";"Fuel cell moving charging vehicle and charging controlling method thereof";"SUN LEI";"WEICHAI POWER CO LTD";"CN107985087A";"2017-10-17";"B60L11/18";"B60L53/14 (CN) 
B60L58/10 (CN) 
B60L58/12 (CN) 
B60L58/30 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2018-05-04";"2018-05-04";"062029696";
"203";"Method and system for multi-energy flow management and control of road traffic energy system";"WANG LEI 
LI YOU 
ZHU ZHENDE 
LIAN TAO 
SHI FENGJIE 
DU XIAOYUN 
ZHANG ZHANFENG 
ZHANG WEIPING 
SU SU 
XIA MINGCHAO 
LIU QIUJIANG 
NIE XIAOBO 
CHEN QIFANG 
REN PENGPENG 
WEI CUNHAO 
WANG PENG";"CCCC MECH & ELEC ENG CO LTD 
UNIV BEIJING JIAOTONG";"CN118300189A";"2024-02-27";"G06F30/20 
G06Q10/04 
G06Q30/0201 
G06Q50/06 
G06Q50/26 
H02J3/28 
H02J3/32 
H02J3/46 
G06F111/04";"G06F30/20 (CN) 
G06Q10/04 (CN) 
G06Q30/0206 (CN) 
G06Q50/06 (CN) 
G06Q50/26 (CN) 
H02J3/28 (CN) 
H02J3/32 (CN) 
H02J3/466 (CN) 
G06F2111/04 (CN) 
H02J2203/20 (CN) 
H02J2300/20 (CN) 
H02J2300/40 (CN)";"2024-07-05";"2024-07-05";"091687104";
"204";"Electric spark fault alarm and alarm method for direct-current power supply system of electric vehicle";"LI MINGWEI";"DALIAN JIANGSU INSTITUTE OF RES CO LTD";"CN114523850A 
CN114523850B";"2021-12-23";"B60L3/00";"B60L3/0046 (CN) 
Y04S30/12 (EP)";"2022-05-24 
2024-04-16";"2022-05-24";"081624891";
"205";"Electric vehicle charging station with multiple alternating current power supply ports and multiple direct current buses";"LI JIN 
JIAO NANA 
FAN YUSHUN 
DANG ENSHUAI";"UNIV SHANGHAI ELECTRIC POWER";"CN113428028A";"2021-07-20";"B60L53/30 
B60L53/60";"B60L53/30 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP)";"2021-09-24";"2021-09-24";"077761088";
"206";"Electro-hydrogen production and charging integrated station";"GUO DONGXU 
LI NA 
YANG JIALIN 
LYU CHENGYOU 
WANG BING 
GE YANGYANG 
MA XINTONG 
ZHANG XIAOTONG";"STATE GRID INTEGRATED ENERGY SERVICE GROUP CO LTD 
ELECTRIC POWER RES INST STATE GRID LIAONING ELECTRIC POWER CO LTD";"CN116085669A";"2023-01-12";"B60L53/54 
C25B1/04 
C25B9/60 
C25B9/65 
F17C13/00 
F17C5/06 
H01M8/0656";"B60L53/54 (CN) 
C25B1/04 (CN) 
C25B9/60 (CN) 
C25B9/65 (CN) 
F17C13/00 (CN) 
F17C5/06 (CN) 
H01M8/0656 (CN) 
F17C2221/012 (CN) 
F17C2265/065 (CN) 
F17C2270/0178 (CN) 
F17C2270/0184 (CN)";"2023-05-09";"2023-05-09";"086211704";
"207";"HYBRID POWER PACK POWER CONVERSION APPARATUS APPLICABLE TO ECO-FRIENDLY VEHICLE";"KIM MYOUNG JUN [KR]";"MTEK INFORMATION TECH CO LTD [KR]";"WO2019107598A1";"2017-11-29";"";"B60L50/50 (EP) 
B60L53/11 (KR) 
B60L53/24 (KR) 
B60L53/305 (KR) 
B60L58/40 (KR) 
B60L2240/54 (KR) 
B60L2250/16 (KR) 
B60L2260/00 (KR) 
B60Y2200/91 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2019-06-06";"2019-06-06";"066664975";
"208";"HYBRID ELECTRIC VEHICLE AND METHODS OF PRODUCTION";"GOODWIN JOHNATHAN [US] 
KRUGER ULI [AU] 
YOUNG NEIL [US]";"";"US2009250276A1";"2008-02-13";"B60L50/15 
B60W10/04 
B60W10/24 
B60W20/00 
F16H3/74";"B60K6/28 (EP,US) 
B60K6/46 (EP,US) 
B60L15/20 (EP,US) 
B60L3/0023 (EP,US) 
B60L50/40 (EP,US) 
B60L50/62 (EP,US) 
B60L58/12 (EP,US) 
B60L7/10 (EP,US) 
B60W10/26 (EP,US) 
B60L2240/36 (EP,US) 
B60L2270/145 (EP,US) 
B60Y2400/114 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/64 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (US) 
Y02T10/72 (EP,US)";"2009-10-08";"2009-08-20";"040547553";
"209";"New energy automobile charging device";"YUAN QIONG";"CHONGQING INDUSTRY POLYTECHNIC COLLEGE";"CN211530750U";"2020-03-18";"B60L50/70 
B60L53/31 
H01M8/04082 
H02J1/00 
H02J1/10 
H02J5/00 
H02J7/00 
H02J7/34 
H02J7/35";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2020-09-18";"2020-09-18";"072460372";
"210";"Electric motor car battery equipment";"ZHOU YONGJUN";"DONGGUAN LHT POWER TECH CO LTD";"CN205264771U";"2015-12-21";"H01M50/213 
H01M50/249 
H01M50/256";"Y02E60/10 (EP)";"2016-05-25";"2016-05-25";"056006280";
"211";"ALLOCATION SYSTEM FOR TRANSPORT VEHICLES";"NAKAMURA MASASHI 
HAYAKAWA TOMOHIRO 
OURA JUNICHI 
MISAIJI YUKI 
IWAMOTO MASAHIRO 
KATAOKA TAKAO 
HAYASHI TATSUYUKI 
MORIMOTO SAKI";"TOYOTA MOTOR CORP";"JP2023056859A 
JP7582153B2";"2021-10-08";"B60L15/20 
G08G1/123 
G16Y10/40 
G16Y40/30";"";"2023-04-20 
2024-11-13";"2023-04-20";"086004882";
"212";"Water-to-hydrogen charging device for electric automobile";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN105261775A";"2015-11-03";"C01B3/32 
H01M8/04089 
H01M8/22 
H02J7/00";"C01B3/32 (CN) 
H01M8/04201 (CN) 
H01M8/22 (CN) 
H02J7/0027 (CN) 
Y02E60/50 (EP)";"2016-01-20";"2016-01-20";"055101351";
"213";"Vehicle energy charging service station and method for providing vehicle energy charging service";"LI YINAN 
ZHENG NAN 
CHEN JINCHUN 
CHEN GUANNAN 
LIN XIAOFAN 
CHEN WANQING 
CHEN HAN 
CHEN SIMIN 
CHEN KEREN 
DU YI 
SHI PENGJIA 
CAI QIYUAN 
LIM CHANG-YOUNG 
LI YUANFEI 
XIANG KANGLI 
WU QIAN 
WANG QIAO 
XU DONGJIE 
HU MING";"ECONOMIC RES INST STATE GRID FUJIAN ELECTRIC POWER CO LTD";"CN116238348A";"2021-12-08";"B60L50/60 
B60L50/70 
B60L53/51 
B60L53/52 
B60L53/53 
B60S5/02 
C25B1/04 
F17C5/00 
F17C7/00 
H02J15/00 
H02J3/32 
H02J3/38";"B60L50/60 (CN) 
B60L50/70 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/53 (CN) 
B60S5/02 (CN) 
C25B1/04 (CN) 
F17C5/00 (CN) 
F17C7/00 (CN) 
H02J15/008 (CN) 
H02J3/322 (CN) 
H02J3/38 (CN) 
H02J2300/24 (CN) 
H02J2300/28 (CN) 
Y02T10/70 (EP)";"2023-06-09";"2023-06-09";"086622914";
"214";"Automatic charging device of new energy electric automobile";"HE GUOTIAN 
WANG ZHONGXUN 
ZHU XIAOQIANG 
ZHAO JIAN 
LIU YONGFU 
CHEN XI 
ZUO JIAQI";"CHONGQING INST GREEN & INTELLIGENT TECHNOLOGY";"CN202712955U";"2012-08-28";"H02J7/14";"Y02T10/70 (EP)";"2013-01-30";"2013-01-30";"047593220";
"215";"Fire extinguishing system of electric vehicle charging and discharging facility using fireproof unit wall";"OU HIROSHI 
LI YING 
MA LI 
CHEN JING 
LI XIAOGE 
ZHANG LEI 
HOU LIQUN 
ZHANG YAQI 
SHI LIYAN 
GUO WEI 
YIN BINGSHUAI";"CHINA RAILWAY CONSTR GROUP CO";"CN114272528A";"2021-11-17";"A62C3/07 
A62C3/16 
A62C31/00 
A62C31/28 
A62C37/00";"Y02T90/167 (EP) 
Y04S30/12 (EP)";"2022-04-05";"2022-04-05";"080869329";
"216";"High-voltage power distribution system of fuel cell hybrid electric vehicle";"CHENG SONGLIN 
CAI JUN 
YU DEHU 
LIU WEI";"WUHAN DLAGI HIGH TECH AUTOMOTIVE ELECTRIC CO LTD";"CN210000133U";"2019-06-12";"B60L3/00 
B60L58/30";"Y02T90/40 (EP)";"2020-01-31";"2020-01-31";"069309407";
"217";"High-volume nickel metal hydride assembly battery of electric automobile";"CHEN WENHONG 
CHEN WENMING 
CHEN DUANDIAN 
LI PEIKUN";"QUANZHOU JINTION ELECTRONICS CO LTD";"CN106026324A";"2016-07-20";"B60L11/18 
H01M10/42 
H02J7/04";"B60L58/26 (CN) 
H01M10/425 (CN) 
H02J7/04 (CN) 
Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"2016-10-12";"2016-10-12";"057116010";
"218";"Gas replacement system of fuel cell hybrid electric vehicle and control method thereof";"WANG BO 
WU XINGCHENG 
CHEN MING 
WANG ZIJIAN 
HE CHONG";"DONGFENG MOTOR GROUP CO LTD";"CN113619380A 
CN113619380B";"2021-07-09";"B60K13/02 
B60K13/04 
B60R16/02";"B60K13/02 (CN) 
B60K13/04 (CN) 
B60R16/02 (CN)";"2021-11-09 
2023-07-14";"2021-11-09";"078379441";
"219";"Energy management control method and system for hybrid electric vehicle";"YANG HUIMIN 
LI KEDI 
TONG ZHEN 
DAI JUNYANG";"SAIC VOLKSWAGEN AUTOMOTIVE CO LTD";"CN112109594A 
CN112109594B";"2020-08-31";"B60L58/40";"B60L58/40 (CN) 
B60L2240/54 (CN) 
Y02T10/70 (EP)";"2020-12-22 
2021-12-28";"2020-12-22";"073804966";
"220";"VEHICLE SYSTEM HAVING FUNCTION OF PREVENTING OCCURRENCE FACTORS OF SUDDEN UNINTENDED ACCELERATION";"YOON DONG-GU [KR]";"STORAGEAN INC [KR]";"US2019359199A1";"2017-01-24";"B60W10/06 
B60W10/08 
B60W10/26 
B60W20/13 
H01M16/00 
H01M8/04082 
H01M8/04746 
H01M8/0606";"B60K15/03 (EP,US) 
B60K15/077 (KR) 
B60L1/02 (KR) 
B60L15/20 (EP) 
B60L3/00 (EP) 
B60L50/75 (EP,US) 
B60L53/24 (KR) 
B60L58/40 (EP) 
B60W10/06 (US) 
B60W10/08 (US) 
B60W10/26 (US) 
B60W10/28 (US) 
B60W20/13 (US) 
H01M10/482 (EP,KR,US) 
H01M16/006 (EP,US) 
H01M8/04201 (US) 
H01M8/0438 (KR) 
H01M8/04567 (EP) 
H01M8/04619 (EP) 
H01M8/04746 (KR) 
H01M8/04776 (US) 
H01M8/0606 (US) 
H01M8/0612 (EP,US) 
H02J1/109 (EP) 
H02J7/0013 (EP) 
H02J7/1423 (EP) 
H02J7/1438 (EP) 
H02J7/1446 (EP) 
H02J7/34 (EP) 
B60K2015/03256 (KR) 
B60L2210/10 (US) 
B60W2710/08 (US) 
B60W2710/242 (US) 
B60Y2200/91 (KR) 
B60Y2200/92 (US) 
B60Y2400/434 (US) 
H01M2250/20 (EP,US) 
H01M8/04291 (EP) 
H02J2310/48 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T10/92 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2019-11-28";"2018-08-01";"062978617";
"221";"FUSION-COMBINATION CHARGING SYSTEMS AND CONTROL METHOD THEREOF";"YOO JAEYOO";"LG ELECTRONICS INC [KR]";"KR20210103041A";"2020-02-12";"B60L53/60 
B60L58/30 
H01M8/04089 
H01M8/04828";"B60L3/0046 (KR) 
B60L53/60 (KR) 
B60L55/00 (KR) 
B60L58/12 (KR) 
B60L58/30 (KR) 
B60L58/40 (KR) 
H01M8/04089 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
B60L2240/54 (KR) 
B60Y2200/90 (KR) 
H01M2250/20 (KR) 
H02J2207/40 (KR) 
Y02E60/50 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP,KR)";"2021-08-23";"2021-08-23";"077499513";
"222";"Electric automobile charging station and method based on renewable energy source";"ZHANG ZHIGANG 
FAN QINGKE";"ZHEJIANG AGRICULTURAL BUSINESS COLLEGE";"CN106926724A";"2017-03-20";"B60L11/18 
H02J7/00";"B60L53/00 (CN) 
B60L53/12 (CN) 
B60L53/14 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/54 (CN) 
B60L53/60 (CN) 
H02J7/0027 (CN) 
Y02E60/36 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2017-07-07";"2017-07-07";"059433426";
"223";"FUEL CELL SYSTEM OF ELECTRIC VEHICLE";"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE";"MITSUBISHI MOTORS CORP";"JP2019145260A";"2018-02-19";"B60L3/00 
B60L50/40 
B60L50/50 
B60L53/00 
B60L55/00 
B60L58/00 
H01M8/00 
H01M8/04 
H01M8/04303 
H01M8/0438 
H01M8/04537 
H01M8/04746";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2019-08-29";"2019-08-29";"067772533";
"224";"Solar electric car charging pile having light condensation function";"LI FENG";"XI'AN SHANGSHANG ELECTROMECHANICAL CO LTD";"CN105743149A";"2014-12-10";"H02J7/00 
H02S40/22";"Y02B10/10 (EP) 
Y02E10/52 (EP)";"2016-07-06";"2016-07-06";"056239886";
"225";"Power supply system with hydrogen fuel cell";"SONG KAI-TAI [TW] 
WANG SZ-SHENG [TW] 
SONG SHAO-HUAN [TW]";"UNIV NATIONAL CHIAO TUNG [TW]";"TW201944691A 
TWI668939B";"2018-04-23";"H01M8/04 
H02J7/34";"B60L50/90 (US) 
B60L53/53 (EP) 
B60L53/54 (EP) 
B60L58/21 (US) 
B60L58/31 (US) 
B60L58/40 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2019-11-16 
2019-08-11";"2019-08-11";"068236061";
