No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
143,Vehicle energy charging service station and method for providing vehicle energy charging service,"LI YINAN 
ZHENG NAN 
CHEN JINCHUN 
CHEN GUANNAN 
LIN XIAOFAN 
CHEN WANQING 
CHEN HAN 
CHEN SIMIN 
CHEN KEREN 
DU YI 
SHI PENGJIA 
CAI QIYUAN 
LIM CHANG-YOUNG 
LI YUANFEI 
XIANG KANGLI 
WU QIAN 
WANG QIAO 
XU DONGJIE 
HU MING",ECONOMIC RES INST STATE GRID FUJIAN ELECTRIC POWER CO LTD,CN116238348A,2021-12-08,"['B60L50/60', 'B60L50/70', 'B60L53/51', 'B60L53/52', 'B60L53/53', 'B60S5/02', 'C25B1/04', 'F17C5/00', 'F17C7/00', 'H02J15/00', 'H02J3/32', 'H02J3/38']","['B60L50/60 (CN)', 'B60L50/70 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/53 (CN)', 'B60S5/02 (CN)', 'C25B1/04 (CN)', 'F17C5/00 (CN)', 'F17C7/00 (CN)', 'H02J15/008 (CN)', 'H02J3/322 (CN)', 'H02J3/38 (CN)', 'H02J2300/24 (CN)', 'H02J2300/28 (CN)', 'Y02T10/70 (EP)']",2023-06-09,2023-06-09,86622914,2023-06-09,,CN116238348A,,CN,,2023,2021,,['CN'],['CN116238348A']
144,Water-to-hydrogen charging device for electric automobile,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN105261775A,2015-11-03,"['C01B3/32', 'H01M8/04089', 'H01M8/22', 'H02J7/00']","['C01B3/32 (CN)', 'H01M8/04201 (CN)', 'H01M8/22 (CN)', 'H02J7/0027 (CN)', 'Y02E60/50 (EP)']",2016-01-20,2016-01-20,55101351,2016-01-20,,CN105261775A,,CN,,2016,2015,,['CN'],['CN105261775A']
145,Hydrogen-electricity hybrid multi-motor driven vehicle or ship or aircraft,WANG GUANGWU,WANG GUANGWU,CN114312371A,2022-02-22,"['B60L50/75', 'B60L8/00']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/40 (EP)']",2022-04-12,2022-04-12,81030216,2022-04-12,,CN114312371A,,CN,,2022,2022,,['CN'],['CN114312371A']
146,Charging system and method of electric vehicle based on wireless charging,"WU SIJUN 
XIE SHUIYING 
GAO LONGSHI",ZHEJIANG IND POLYTECHNIC COLLEGE,CN106945548A,2017-03-20,['B60L11/18'],"['B60L53/12 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",2017-07-14,2017-07-14,59471918,2017-07-14,,CN106945548A,,CN,,2017,2017,,['CN'],['CN106945548A']
147,Charge operation method of electric vehicle,"TIELIANG WANG [CN] 
HUA WANG [CN]",TIELIANG WANG [CN],CN101090167A,2007-07-09,"['B60K1/04', 'H01M10/44', 'H02J7/00']",['Y02E60/10 (EP)'],2007-12-19,2007-12-19,38943395,2007-12-19,,CN101090167A,,CN,,2007,2007,CN,['CN'],['CN101090167A']
148,Inter-city road charging station planning method including hydrogen energy distribution,"LIU YUQING 
HU FENG",UNIV WUCHANG TECHNOLOGY,CN118628166A,2024-04-29,"['G06Q10/047', 'G06Q10/0631', 'G06Q30/0201', 'G06Q30/0204', 'G06Q50/06']","['G06Q10/047 (CN)', 'G06Q10/06312 (CN)', 'G06Q10/06315 (CN)', 'G06Q30/0205 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)']",2024-09-10,2024-09-10,92604281,2024-09-10,,CN118628166A,,CN,,2024,2024,,['CN'],['CN118628166A']
149,"Battery charging outfit, including portable power source car and vehicle of this battery charging outfit",ZHOU MINGQIANG,CHINA HYDROGEN ENERGY TECH CO,CN208571683U,2018-09-03,"['B60L50/75', 'B60P3/00', 'H02J7/00']","['Y02T10/70 (EP)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP)']",2019-03-01,2019-03-01,65451624,2019-03-01,,CN208571683U,,CN,,2019,2018,,['CN'],['CN208571683U']
150,Secondary battery charging system,"KIKUCHI TETSURO [JP] 
USAMI HIROYUKI [JP] 
KATO AKIRA [JP] 
OSHIMA HISAYOSHI [JP]",DENSO CORP [JP],"US2006170390A1 
US7576512B2",2005-01-28,"['H02J7/35', 'H01M6/50', 'H02J7/00']","['B60R16/03 (EP,US)', 'H01M10/44 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/04089 (EP,US)', 'H01M8/04313 (EP,US)', 'H01M8/04567 (EP,US)', 'H01M8/04597 (EP,US)', 'H01M8/04753 (EP,US)', 'H01M8/0488 (EP,US)', 'H01M8/04888 (EP,US)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)']","2006-08-03 
2009-08-18",2006-08-03,36755837,2006-08-03,2009-08-18,US2006170390A1,"
US7576512B2",US,"
",2006,2005,JP,"['JP', 'US']","['JP2006210168A', 'JP4734939B2', 'US2006170390A1', 'US7576512B2']"
151,Ladeeinrichtung für Elektrofahrzeuge,ROTHFUSS FLORIAN [DE],FRAUNHOFER GES FORSCHUNG [DE],DE102013112845A1,2013-11-21,"['B60L11/18', 'B60S5/00', 'E04H6/00', 'H02J17/00', 'H02J7/00', 'H02J7/34']","['B60L53/34 (EP,US)', 'B60L53/51 (EP,US)', 'B60L53/52 (EP,US)', 'B60L53/53 (EP,US)', 'B60L53/54 (EP,US)', 'B60L53/55 (EP,US)', 'E04H1/1205 (EP,US)', 'E04H1/1233 (EP)', 'E04H6/02 (EP)', 'E04H6/42 (EP)', 'H02J7/0013 (EP,US)', 'H02J7/0042 (EP,US)', 'E04H2001/1283 (EP)', 'H02J2310/48 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2015-05-21,2015-05-21,51982558,2015-05-21,,DE102013112845A1,,DE,,2015,2013,DE,"['DE', 'WO']","['DE102013112845A1', 'WO2015075203A1']"
152,Vehicle control system of hydrogen fuel cell vehicle and vehicle,"ZHAI GUANGYONG 
WANG JUNQIAO 
MO CHONGXIANG","GEELY HOLDING GROUP CO LTD 
ZHEJIANG YINGLUN AUTOMOBILE CO LTD 
ZHEJIANG YINGLUN ELECTRIC AUTOMOBILE RES DEVELOPMENT CO LTD",CN115172825A,2022-08-25,"['B60L58/30', 'B60L58/31', 'H01M10/42', 'H01M8/04089', 'H01M8/04119', 'H01M8/04664', 'H01M8/04858', 'H01M8/04955', 'H01M8/04992']","['B60L58/30 (CN)', 'B60L58/31 (CN)', 'H01M10/42 (CN)', 'H01M8/04089 (CN)', 'H01M8/04126 (CN)', 'H01M8/04664 (CN)', 'H01M8/0494 (CN)', 'H01M8/04955 (CN)', 'H01M8/04992 (CN)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2022-10-11,2022-10-11,83481796,2022-10-11,,CN115172825A,,CN,,2022,2022,,['CN'],['CN115172825A']
153,FUEL BATTERY SYSTEM AND ELECTRIC VEHICLE,"TAKEI RIKI 
TASHIRO KEISUKE 
KAWASHIMA KAZUHITO 
UCHIDA MAKOTO 
WATANABE MASAHIRO","MITSUBISHI MOTORS CORP 
UNIV YAMANASHI","JP2016027534A 
JP6254927B2",2014-06-25,"['B60L50/40', 'B60L50/50', 'B60L50/70', 'B60L53/00', 'B60L55/00', 'B60L58/00', 'B60L58/31', 'B60L58/40', 'H01M8/00', 'H01M8/04', 'H01M8/04225', 'H01M8/04302']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']","2016-02-18 
2017-12-27",2016-02-18,55352841,2016-02-18,2017-12-27,JP2016027534A,"
JP6254927B2",JP,"
",2016,2014,,['JP'],"['JP2016027534A', 'JP6254927B2']"
154,Multifunctional mobile charging vehicle,"SI HONGLEI 
LIN DAOYONG 
LI QINGHAI",JIANGSU FGY ENERGY STORAGE RES INST CO LTD,CN204304478U,2014-11-06,"['H02J7/00', 'H02J7/35', 'H02S10/10', 'H02S10/40']",['Y02E10/56 (EP)'],2015-04-29,2015-04-29,53109990,2015-04-29,,CN204304478U,,CN,,2015,2014,,['CN'],['CN204304478U']
155,Pure electric vehicle with built -in traction power supply dragging device,"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI",BEIJING ZHONGRUI PUDE CREATIVE TECH DEV CO LTD,CN206242896U,2016-07-27,"['B60K1/04', 'B60L11/18']",['Y02T10/70 (EP)'],2017-06-13,2017-06-13,58997531,2017-06-13,,CN206242896U,,CN,,2017,2016,,['CN'],['CN206242896U']
156,Fuel cell system for charging electric vehicle batteries,LEE WOONG MOO [KR],PAHPS [KR],"KR101813231B1 
KR20170040143A",2017-03-20,"['B60K1/04', 'B60L11/18', 'H01M8/04298', 'H01M8/0612', 'H01M8/0662']","['B60L50/50 (KR)', 'B60L58/30 (KR)', 'H01M8/04089 (KR)', 'H01M8/04201 (KR)', 'H01M8/04947 (KR)', 'H01M8/0618 (KR)', 'H01M8/0662 (KR)', 'H01M8/0687 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2017-04-12 
2018-01-30",2017-04-12,58580416,2017-04-12,2018-01-30,KR101813231B1,"
KR20170040143A",KR,"
",2017,2017,KR,['KR'],"['KR101813231B1', 'KR20170040143A']"
157,Magnetic anti-collision shared charging vehicle for electric vehicle,"XU WEINAN 
XU YONGPING 
WANG ZHENXIANG","XU WEINAN 
XU YONGPING",CN215322985U,2021-05-30,"['B60L50/60', 'B60L53/16', 'B60L53/18', 'B60L58/12', 'B62D63/06', 'B62D63/08']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",2021-12-28,2021-12-28,79549187,2021-12-28,,CN215322985U,,CN,,2021,2021,,['CN'],['CN215322985U']
158,VEHICLE AND METHOD OF RECHARGING BATTERY THEREIN,PARK HYUN SOO [KR],HYUNDAI MOTOR CO LTD [KR],"KR101910918B1 
KR20170068004A",2015-12-09,"['B60L11/18', 'H01M10/42']","['B60L3/0046 (EP,US)', 'B60L53/00 (CN)', 'B60L53/14 (EP,US)', 'B60L53/60 (US)', 'B60L53/66 (EP,US)', 'B60L58/10 (CN)', 'B60L58/14 (EP,US)', 'H02J7/00306 (EP,CN,US)', 'H02J7/0031 (CN)', 'H02J7/0036 (EP,US)', 'B60L2240/549 (EP,US)', 'H02J2310/48 (EP,CN,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (EP,US)']","2017-06-19 
2018-10-23",2017-06-14,58773668,2017-06-19,2018-10-23,KR101910918B1,"
KR20170068004A",KR,"
",2017,2015,KR,"['CN', 'DE', 'KR', 'US']","['CN106853777A', 'CN106853777B', 'DE102016117704A1', 'DE102016117704B4', 'KR101910918B1', 'KR20170068004A', 'US2017166073A1']"
159,Wind power generation device for energy supply of hybrid electric vehicle,ZHANG ZHENGPU,XI AN BOYU GREEN ENERGY CO LTD,CN204357638U,2014-11-14,"['B60K6/26', 'F03D9/02']","['Y02E10/72 (EP)', 'Y02E60/36 (EP)']",2015-05-27,2015-05-27,53259112,2015-05-27,,CN204357638U,,CN,,2015,2014,,['CN'],['CN204357638U']
160,Space-time combined operation optimization method for wind-light-hydrogen storage and charging comprehensive energy,"ZHAO HAORAN 
LI HAORAN 
QIAN XIAOYI 
WANG RUIQI 
LIU SHUAI 
MA DAZHONG",UNIV SHANDONG,"CN117556549A 
CN117556549B",2024-01-08,"['B60L53/63', 'B60L53/68', 'G06F30/15', 'G06F30/27', 'G06N3/044', 'G06N3/0464', 'G06N3/084', 'G06F119/06']","['B60L53/63 (CN)', 'B60L53/68 (CN)', 'G06F30/15 (CN)', 'G06F30/27 (CN)', 'G06N3/044 (CN)', 'G06N3/0464 (CN)', 'G06N3/084 (CN)', 'G06F2119/06 (CN)']","2024-02-13 
2024-04-19",2024-02-13,89813107,2024-02-13,2024-04-19,CN117556549A,"
CN117556549B",CN,"
",2024,2024,,['CN'],"['CN117556549A', 'CN117556549B']"
161,FIRE EXTINGUISHING DEVICE FOR ELECTRIC VEHICLE BATTERIES,KANG HIE CHAN [KR],NAT UNIV KUNSAN IACF [KR],US2024157182A1,2022-11-14,['A62C3/07'],"['A62C3/07 (EP,US)', 'A62C3/16 (EP)', 'A62C35/62 (EP)']",2024-05-16,2023-04-03,85936554,2024-05-16,,US2024157182A1,,US,,2024,2022,KR,"['KR', 'US']","['KR102516447B1', 'KR102608228B1', 'US2024157182A1']"
162,Vehicle hybrid storage battery charging voltage stabilizing system and vehicle,"YANG JINLIANG 
WANG PINGLAI 
GUO XIAOMENG",SINO TRUK JINAN POWER CO LTD,CN212063598U,2020-05-15,"['B60R16/033', 'H02H11/00', 'H02J7/00', 'H02J7/34']",['unkown)'],2020-12-01,2020-12-01,73520180,2020-12-01,,CN212063598U,,CN,,2020,2020,,['CN'],['CN212063598U']
163,Off-grid hydrogen fuel cell automobile charging system,"GUO LEI 
LI XIAONAN 
LU YING 
LI SUXUAN",HYDROGEN POWER ENERGY TECH SHANGHAI CO LTD,CN220391063U,2023-07-24,"['B60L53/50', 'B60L53/54', 'B60L53/57']",['unkown)'],2024-01-26,2024-01-26,89603412,2024-01-26,,CN220391063U,,CN,,2024,2023,,['CN'],['CN220391063U']
164,Automatic charging device of new energy electric automobile,"HE GUOTIAN 
WANG ZHONGXUN 
ZHU XIAOQIANG 
ZHAO JIAN 
LIU YONGFU 
CHEN XI 
ZUO JIAQI",CHONGQING INST GREEN & INTELLIGENT TECHNOLOGY,CN202712955U,2012-08-28,['H02J7/14'],['Y02T10/70 (EP)'],2013-01-30,2013-01-30,47593220,2013-01-30,,CN202712955U,,CN,,2013,2012,,['CN'],['CN202712955U']
165,Hydrogen-electric hybrid vehicle construction,KEJHA JOSEPH B [US],ELECTRION INC [US],US7036616B1,1995-01-17,"['B60K6/52', 'B60K7/00']","['B60K6/442 (EP,US)', 'B60K6/52 (EP,US)', 'B60K7/0007 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/62 (EP,US)', 'B60L50/66 (EP,US)', 'B62D23/005 (EP,US)', 'B62D29/008 (EP,US)', 'B62D31/003 (EP,US)', 'B60K1/02 (EP,US)', 'B60K17/043 (EP,US)', 'B60K2007/0046 (EP,US)', 'B60K2007/0092 (EP,US)', 'B60L2220/46 (EP,US)', 'B60L2260/28 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y10S903/908 (EP,US)']",2006-05-02,2006-05-02,34988438,2006-05-02,,US7036616B1,,US,,2006,1995,US,['US'],"['US2005211480A1', 'US2006032683A1', 'US2006070790A1', 'US2008238140A1', 'US7036616B1']"
166,Water-hydrogen electric vehicle,"XIANG HUA 
LIANG WANGUANG 
MA YONGFENG",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN108258273A,2016-12-28,"['B60L11/18', 'H01M8/0612', 'H01M8/22']","['B60L50/72 (CN)', 'B60L58/33 (CN)', 'B60L58/34 (CN)', 'H01M8/0618 (CN)', 'H01M8/22 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y02T90/40 (EP)', 'Y04S30/12 (EP)']",2018-07-06,2018-07-06,62720497,2018-07-06,,CN108258273A,,CN,,2018,2016,,['CN'],['CN108258273A']
167,Vehicle and hydrogen-electricity hybrid power supply system thereof,"ZHOU KAN 
YANG HUAPING","GEELY HOLDING GROUP CO LTD 
ZHEJIANG YIZHEN AUTOMOBILE RES DEVELOPMENT CO LTD",CN221233499U,2024-01-05,"['B60L1/00', 'B60L50/75', 'B60L58/34', 'B60L58/40', 'H01M8/24', 'H01M8/2465', 'H02J7/00', 'H02M1/00']",['unkown)'],2024-06-28,2024-06-28,91613989,2024-06-28,,CN221233499U,,CN,,2024,2024,,['CN'],['CN221233499U']
168,SYSTÈME DE CHARGE MOBILE POUR VÉHICULES ÉLECTRIQUES,"CONNOR ERIC [US] 
SEMRAU GREG [US]",MOOG INC [US],"WO2023158611A2 
WO2023158611A3",2022-02-17,"['B60L53/53', 'B60L53/54', 'B60L53/57']","['B60L53/53 (EP)', 'B60L53/54 (EP)', 'B60L53/57 (EP)']","2023-08-24 
2023-10-12",2023-08-24,86054241,2023-08-24,2023-10-12,WO2023158611A2,"
WO2023158611A3",WO,"
",2023,2022,US,['WO'],"['WO2023158611A2', 'WO2023158611A3']"
169,Electricity-hydrogen production and charging integrated station and electricity-hydrogen-road-vehicle collaborative planning method,"FU CHEN 
LAN LI 
CHEN PENG 
CHEN SU 
WANG SU 
GUO MINGXING 
QIAN YANYUAN 
YU LIFANG 
FU BAOJUN 
LIU HAOMING","STATE GRID SHANGHAI MUNICIPAL ELECTRIC POWER CO 
UNIV HOHAI",CN119130180A,2024-08-26,"['G06Q10/04', 'G06Q10/0637', 'G06Q10/067', 'G06Q50/06']","['G06Q10/04 (CN)', 'G06Q10/0637 (CN)', 'G06Q10/067 (CN)', 'G06Q50/06 (CN)']",2024-12-13,2024-12-13,93764878,2024-12-13,,CN119130180A,,CN,,2024,2024,,['CN'],['CN119130180A']
170,CHARGE CONTROL DEVICE AND CHARGING SYSTEM,GOTO IKURO,SUBARU CORP,JP2018143032A,2017-02-27,"['B60K8/00', 'B60L11/18', 'H02J7/00']",['Y02T10/70 (EP)'],2018-09-13,2018-09-13,63526941,2018-09-13,,JP2018143032A,,JP,,2018,2017,,['JP'],['JP2018143032A']
171,Automatic energy storage charging system based on common power supply of commercial power and hydrogen fuel cell,"YU QINLU 
DENG WENCONG 
LIANG TUSHENG 
HUANG ZHAOQIU","ZHUHAI YINLONG ELECTRICAL APPLIANCE CO LTD 
YINLONG ENERGY CO LTD",CN211018374U,2019-09-09,"['B60L53/53', 'B60L53/54', 'H02J7/00', 'H02J7/02', 'H02J7/34', 'H02J9/04', 'H02J9/06']","['Y02B70/30 (EP)', 'Y02B90/10 (EP)', 'Y02P80/10 (EP)', 'Y02P90/40 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y04S20/20 (EP)']",2020-07-14,2020-07-14,71478420,2020-07-14,,CN211018374U,,CN,,2020,2019,,['CN'],['CN211018374U']
172,Wind power generation device for supplying energy to hybrid electric vehicle,ZHANG ZHENGPU,XI'AN BOYU GREEN ENERGY CO LTD,CN105649881A,2014-11-14,['B60K6/26'],['unkown)'],2016-06-08,2016-06-08,56479056,2016-06-08,,CN105649881A,,CN,,2016,2014,,['CN'],['CN105649881A']
173,"Power battery thermal management method, vehicle control unit, hydrogen energy vehicle and storage medium","SHAO YI 
HAO YIGUO",HUANGGANG GROVE HYDROGEN AUTOMOTIVE CO LTD,CN113386631A,2021-06-18,"['B60L58/40', 'B60R16/023', 'H01M8/04029', 'H01M8/04701', 'H01M8/04992']","['B60L58/40 (CN)', 'B60R16/0232 (CN)', 'H01M8/04029 (CN)', 'H01M8/04723 (CN)', 'H01M8/04992 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)']",2021-09-14,2021-09-14,77622947,2021-09-14,,CN113386631A,,CN,,2021,2021,,['CN'],['CN113386631A']
174,ECMS hydrogen fuel electric vehicle energy management method based on sparrow search algorithm,"ZHAO YOUQUN 
YU SONG 
PAN CHENBING 
HE KUNPENG 
WANG XUANYING 
GUO SHUO",UNIV NANJING AERONAUTICS & ASTRONAUTICS,CN116834611A,2023-06-30,"['B60L50/40', 'B60L50/75', 'B60L58/40', 'G06N3/006']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'B60L58/40 (CN)', 'G06N3/006 (CN)']",2023-10-03,2023-10-03,88173799,2023-10-03,,CN116834611A,,CN,,2023,2023,,['CN'],['CN116834611A']
175,FUEL CELL ELECTRIC VEHICLE HAVING RANGE EXTENSION ARCHITECTURE,"KHOT PRASHANT [IN] 
BAPAT SUSHANT [IN]",FCA US LLC [US],US2025070199A1,2023-08-25,"['B60L50/75', 'B60L58/32', 'H01M8/04007', 'H01M8/04082']","['B60L50/75 (EP,US)', 'B60L58/32 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04201 (EP)', 'H01M8/04208 (EP,US)', 'H01M8/04373 (EP)', 'B60L53/16 (EP,US)', 'H01M2250/20 (EP,US)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",2025-02-27,2025-02-27,94688999,2025-02-27,,US2025070199A1,,US,,2025,2023,US,['US'],['US2025070199A1']
176,Electric car,WEI WU [CN],WEI WU [CN],CN101161516A,2007-03-30,['B60S5/02'],['unkown)'],2008-04-16,2008-04-16,39296518,2008-04-16,,CN101161516A,,CN,,2008,2007,CN,['CN'],['CN101161516A']
177,Hydrogen fuel cell all-terrain vehicle,"WANG TENG 
YANG CHENGZHI 
ZHANG BIN 
LI XIN 
ZHANG SENHAO",CHONGQING LONGXIN NEW ENERGY TECH CO LTD,CN119142449A,2024-10-22,"['B60L50/75', 'B62J27/30', 'B62J35/00', 'B62J41/00', 'B62J43/13', 'B62J43/16', 'B62J43/28', 'B62J50/30', 'B62J7/04', 'B62K19/30', 'B62K5/01', 'B62M6/45', 'B62M6/80', 'B62M6/90']","['B60L50/75 (CN)', 'B62J27/30 (CN)', 'B62J35/00 (CN)', 'B62J41/00 (CN)', 'B62J43/13 (CN)', 'B62J43/16 (CN)', 'B62J43/28 (CN)', 'B62J50/30 (CN)', 'B62J7/04 (CN)', 'B62K19/30 (CN)', 'B62K5/01 (CN)', 'B62M6/45 (CN)', 'B62M6/80 (CN)', 'B62M6/90 (CN)', 'B60L2200/46 (CN)', 'B62K2204/00 (CN)']",2024-12-17,2024-12-17,93807585,2024-12-17,,CN119142449A,,CN,,2024,2024,,['CN'],['CN119142449A']
178,Auxiliary simulation device for electric vehicle power battery voltage balance teaching,"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE",LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY,CN108986610A,2018-08-16,['G09B23/18'],['G09B23/188 (CN)'],2018-12-11,2018-12-11,64553642,2018-12-11,,CN108986610A,,CN,,2018,2018,,['CN'],['CN108986610A']
179,Nickel-hydrogen battery management system for electric vehicle,JIANGUO RAN [CN],INTELLIGENT POWER SYSTEM CO LT [CN],"CN100568610C 
CN101114724A",2007-08-17,"['B60L11/18', 'G01R31/36', 'G06Q90/00', 'H01M10/42', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T90/16 (EP)']","2008-01-30 
2009-12-09",2008-01-30,39022912,2008-01-30,2009-12-09,CN100568610C,"
CN101114724A",CN,"
",2008,2007,CN,['CN'],"['CN100568610C', 'CN101114724A']"
180,On -vehicle battery device of electric motor car,ZHOU YONGJUN,DONGGUAN LHT POWER TECH CO LTD,CN205264773U,2015-12-21,"['B62M6/90', 'H01M50/204', 'H01M50/249', 'H01M50/258']",['Y02E60/10 (EP)'],2016-05-25,2016-05-25,56006282,2016-05-25,,CN205264773U,,CN,,2016,2015,,['CN'],['CN205264773U']
181,Système de batterie de véhicule,FUNAKOSHI HIROSHI [JP],MITSUBISHI MOTORS CORP [JP],"EP2907702A1 
EP2907702B1",2014-02-12,['B60R16/033'],['B60R16/033 (EP)'],"2015-08-19 
2018-08-08",2015-08-12,52577623,2015-08-19,2018-08-08,EP2907702A1,"
EP2907702B1",EP,"
",2015,2014,JP,"['CN', 'EP', 'JP']","['CN104827990A', 'CN104827990B', 'EP2907702A1', 'EP2907702B1', 'JP2015150957A', 'JP6406495B2']"
182,Hybrid electric vehicle having alternate power sources,"MEANEY DANIEL J [US] 
MEANEY JR DANIEL J [US]","MEANEY DANIEL J [US] 
MEANEY JR DANIEL J [US]","US2003188900A1 
US6945345B2",1999-05-05,"['B60K1/00', 'B60K6/00', 'B60K6/22', 'B60K6/24', 'B60K6/32', 'B60K1/04', 'F02M21/06', 'H01M16/00']","['B60K6/22 (EP,US)', 'B60K6/24 (EP,US)', 'B60K6/32 (EP,US)', 'F02D19/0644 (EP,US)', 'F02D19/0671 (EP,US)', 'H01M16/006 (EP,US)', 'B60K1/04 (EP,US)', 'F02M21/06 (EP,US)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/30 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T90/40 (EP,US)', 'Y10S903/904 (EP,US)', 'Y10S903/905 (EP,US)', 'Y10S903/908 (EP,US)']","2003-10-09 
2005-09-20",2003-03-25,23182900,2003-10-09,2005-09-20,US2003188900A1,"
US6945345B2",US,"
",2003,1999,,['US'],"['US2003183429A1', 'US2003188900A1', 'US2005211482A1', 'US2008264704A1', 'US6536547B1', 'US6892840B2', 'US6945345B2', 'US7389839B2']"
183,Mobile charging system for electric vehicle,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN106026329A,2016-06-17,"['H02J50/10', 'H02J7/32']",['H02J7/32 (CN)'],2016-10-12,2016-10-12,57087923,2016-10-12,,CN106026329A,,CN,,2016,2016,,['CN'],['CN106026329A']
184,DISPOSITIF MOBILE DE CHARGEMENT DE MOYENS DE TRANSPORT ÉLECTRIQUES,LASHIN DMITRII ALEKSANDROVICH [RU],LASHIN DMITRII ALEKSANDROVICH [RU],WO2023128778A1,2021-12-27,"['B60L53/53', 'B60L53/57', 'H02J7/00']","['B60L53/53 (EP)', 'B60L53/57 (EP)', 'H02J7/00 (EP)', 'Y02T10/70 (EP)']",2023-07-06,2023-07-06,86999836,2023-07-06,,WO2023128778A1,,WO,,2023,2021,RU,['WO'],['WO2023128778A1']
185,Hydrogen fuel and lithium ion battery combined electric vehicle power system,"LU GUIBING 
ZHAO YUMIN 
WANG FUJUN 
ZHANG JIAMOU 
CHEN XUQIANG",HANTENG AUTOMOBILE CO LTD,CN209336506U,2018-12-29,"['B60L15/20', 'B60L50/60', 'B60L50/75', 'B60L58/10', 'B60L58/30']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/40 (EP)']",2019-09-03,2019-09-03,67760148,2019-09-03,,CN209336506U,,CN,,2019,2018,,['CN'],['CN209336506U']
186,GENERATION CONTROLLER FOR HYBRID ELECTRIC VEHICLE,"MATSUSHITA KENJI 
FUJITSUKA MASASHI",MITSUBISHI ELECTRIC CORP,JP2002058111A,2000-08-10,"['B60K6/02', 'B60L11/12', 'H01M10/42', 'H01M10/44', 'H01M10/48', 'H02J7/00', 'B60K6/20', 'B60K6/32', 'B60K6/46', 'B60L50/15', 'B60W10/06', 'B60W10/08', 'B60W10/26', 'B60W20/00', 'H01M10/42', 'H01M10/44', 'H01M10/48', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/62 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/40 (EP)']",2002-02-22,2002-02-22,18733898,2002-02-22,,JP2002058111A,,JP,,2002,2000,,['JP'],['JP2002058111A']
